3397.36,14374,-5718,30722596.9504,2063,348.0,6627.0,-9744,-3211,-16181,12647822.32,-9851,-11608.0,-7881.0,-352.48,4146,-8287,18712923.9296,1196,-4058.0,3846.0,-3404.76,7976,-17553,90320787.4624,-1075,-12987.0,5777.0,-1704.4,4957,-10939,18795691.6,-657,-4746.0,905.0,-6618.6,11183,-24238,151144657.36,-2197,-20306.0,4004.0,1
2145.96,13261,-7119,34848983.238400005,263,-1510.0,6188.0,-11464.04,-7156,-17953,6866034.1984,-10817,-12912.0,-10004.0,-1191.16,4417,-10676,22948293.1744,658,-5162.0,2657.0,-65.56,12022,-14864,96381730.2464,1704,-9414.0,9790.0,2606.16,11377,-8128,30251891.7344,2863,-649.0,6766.0,-7695.48,9254,-24425,129444793.2896,-3293,-19404.0,2029.0,1
1447.48,11977,-6451,25450726.8096,544,-1700.0,5003.0,-11439.52,-8583,-15352,4563879.2096,-11142,-13627.0,-9392.0,-692.24,5200,-11286,30799510.1024,749,-5487.0,3973.0,-424.12,17218,-16046,145971940.34559998,-4156,-10937.0,12927.0,-207.48,10575,-12175,38084807.4496,-412,-4720.0,3017.0,-3787.36,13472,-23552,133215520.6304,2212,-14833.0,2859.0,1
3377.88,12189,-5801,21697886.505599998,2479,867.0,6100.0,-10606.84,-8101,-16010,4493900.1344,-9899,-12103.0,-8770.0,427.16,4731,-8314,21370651.3344,2146,-3461.0,4644.0,-1484.88,13750,-13532,101228514.0256,-4091,-11297.0,9511.0,792.24,10272,-8714,31798412.2624,1983,-4255.0,3471.0,-4874.68,12417,-23274,120718850.2176,521,-17323.0,1336.0,1
5559.52,12562,-3919,21392561.2896,4653,3057.0,9811.0,-13968.12,-9249,-17663,8272456.1056,-14695,-16540.0,-11351.0,1.64,4713,-11561,27442653.4304,3044,-3871.0,4162.0,-3754.6,12787,-12687,86532542.64,-7480,-12276.0,3974.0,-493.88,12090,-10425,47001752.7456,104,-6459.0,4355.0,43.48,17183,-22833,148393828.2496,1843,-6051.0,8455.0,1
3174.08,13453,-5500,27291750.3936,2460,664.0,6475.0,-10338.68,-7428,-17587,7500150.3776,-9434,-11761.0,-8397.0,-682.8,4461,-9426,19311130.560000002,966,-4467.0,3080.0,-617.36,12232,-13921,78169198.1504,-1323,-8289.0,7612.0,1268.2,10713,-6356,29108570.24,1251,-3058.0,4888.0,-5582.64,9910,-23653,137105780.7904,1360,-18726.0,4338.0,1
5226.28,13940,-1069,17779908.121600002,4118,2031.0,7195.0,-12103.24,-4708,-16204,14430288.3424,-14631,-15031.0,-8922.0,3442.64,10723,-4680,28019191.110400002,2831,-1070.0,9350.0,-7370.72,4182,-18071,79084296.9216,-8164,-16634.0,2079.0,-5673.84,2676,-11646,21302908.7744,-7827,-9454.0,-1742.0,-4412.6,8378,-21375,137371838.16,-296,-17140.0,6971.0,1
6015.8,12639,1553,14556194.8,4539,2604.0,9692.0,-10743.08,-203,-17478,34261858.7936,-12413,-15998.0,-5656.0,3497.88,10255,-3197,19037240.1056,4452,-811.0,6112.0,-4307.36,9434,-18950,103760975.7504,-2033,-15149.0,4202.0,-2575.56,3765,-7301,11549576.0064,-3445,-5124.0,611.0,-7355,7174,-22879,130409064.72,-9797,-17696.0,5883.0,1
6609.08,15350,1685,15305918.7936,6237,3479.0,7304.0,-10623.76,-4683,-14082,9408706.7424,-11413,-13269.0,-8666.0,1673.68,10319,-5648,37655222.3776,-381,-3891.0,9103.0,-14859.24,-4618,-23141,55349931.8624,-17516,-21885.0,-5730.0,-2726.12,2929,-8953,13273817.785600001,-2680,-6140.0,530.0,-4965.28,4533,-21004,93378161.5616,1821,-14995.0,3263.0,1
3709.16,13720,-3278,20695387.9744,3398,629.0,5850.0,-9704.6,-3149,-14301,14778150.88,-10920,-13020.0,-5930.0,2600.56,9984,-4030,25792208.0864,1216,-1394.0,8340.0,-9598.12,2399,-19742,83031384.8256,-11977,-18638.0,1271.0,-4043.52,3641,-9548,19804795.689600002,-2648,-8382.0,-501.0,-3074.6,8625,-21318,142492972.32000002,4293,-17063.0,7159.0,1
