,Mean-accX,Range-accX,Var-accX,Median-accX,Mean-accY,Range-accY,Var-accY,Median-accY,Mean-accZ,Range-accZ,Var-accZ,Median-accZ,Mean-gyroX,Range-gyroX,Var-gyroX,Median-gyroX,Mean-gyroY,Range-gyroY,Var-gyroY,Median-gyroY,Mean-gyroZ,Range-gyroZ,Var-gyroZ,Median-gyroZ,label
0,9712.49,31894,62408037.97,8442.5,-10431.13,15279,26853414.42,-10220.5,-740.27,19989,31422178.16,-3008.5,-461.31,35021,67588957.33,-202.5,-5436.15,23686,39856535.83,-4409,296.42,56339,248542163.4,2364.5,1
0,2867.41,38737,110946501.4,6787.5,-1926.92,24964,57382501.17,-2785.5,6027.43,21001,31375383.04,7812.5,324.66,31312,64487533.54,-3.5,-1091.22,26061,39757211.04,-281,-1431.36,54300,218517399.2,-451.5,1
0,10032.02,36131,66655721.21,10743,-9220.88,20035,29934504.63,-9676,3708.88,23470,32099476.79,4352,704.54,39198,73088117.99,-1181,-4163.36,25748,39465742.64,-4019.5,812.8,57865,293256871.3,3342.5,1
0,8481.58,35531,82336268.73,8577,-9571.77,16497,29989018.3,-9516,2013.36,24737,33929943.42,2917.5,3373.6,39025,95980650.12,929,-3449.47,35597,74263465.93,-1254,-1433.21,57124,289113548.6,369.5,1
0,9542.63,34215,74797085.61,10678.5,-9655.31,21955,45958529.77,-11686,2203.15,21018,24015752.82,1959,1909.54,33535,61656139.42,525.5,-5452.56,28256,38378838.05,-4655.5,1248.95,59343,293878372.4,4151.5,1
0,9982.32,35865,78846941.15,10608,-10842.08,23268,33926468.58,-13123.5,-290.8,23207,27817213.84,-1638.5,2013.81,36782,58127601.83,1017.5,-2840.08,30601,37290368.34,-2047,1359,58370,262516275.5,2760,1
0,7136.33,39220,111792022.4,9044,-7787.16,24044,57586218.64,-9402,1969.72,27852,45023601.86,388,1175.32,36345,72599184.14,3024,-2551.61,28030,51870855.05,-719.5,-3684.68,57616,266469789.9,-2724,1
0,4476.94,45899,148178901.3,6858.5,-6852.4,21850,46544312.14,-6838,392.45,21238,32420759.12,-247.5,731.64,33438,43951263.22,695.5,-3180.56,32291,47539895.82,-1353.5,3858.43,56968,222074640.8,3656,1
0,1615.5,33231,93708917.65,3837.5,2652.98,26427,48449727.94,4180.5,6868.52,17876,34705422.17,4644.5,-1547.54,26009,45449026.92,-394.5,-1888.26,19409,13888910.4,-1348.5,-3629.3,57881,297073519.6,-4236.5,1
0,-5232.72,28980,92798439.21,-4660.5,5116.83,6944,3603540.567,4688,5405.13,20836,42785655.27,2816,-2361.5,31188,72400775.36,-620.5,403.34,18902,13520334.55,1016.5,-846.55,56317,311695218.9,-1984,1
0,-4359.01,26681,98377717.44,-3310.5,4899.39,5961,3053509.271,4242.5,5829.98,19935,48066539.29,4055.5,-1329.94,27706,56109014.18,-1001.5,-798.81,15654,13311153.59,-207.5,-626.96,58667,304749566.9,-959.5,1
0,-5004.74,30202,116379575.9,-7824,4639.51,7150,3111727.323,4318,4389.01,17533,34413251.95,932.5,-1322.31,25632,38398509.39,-780.5,-432.62,15767,12861047.25,-116,-495.9,58294,318896409.1,-1756.5,1
0,-3541.25,29514,104298358,-2540,5396.28,7043,2913223.335,4723,5526.97,18450,44483010.51,4054,-1287.01,30779,62111358.33,-273,3.76,17950,12546012.83,514,-357.9,56059,304350475.6,-1652.5,1
0,-4941.18,25845,86820410.73,-3783.5,5547.84,6537,2907470.095,4909.5,5491.6,18576,49377921.6,4055,-969.78,30807,70255615.61,-0.5,-340.43,18370,15137883.66,-514.5,-329.51,55150,288427679.3,-2322.5,1
0,-6152.17,26258,84787539.74,-7390,5508.68,5405,2352222.725,4919.5,4087.52,20113,50485759.63,1207.5,-342.47,33963,80577730.03,289.5,-373.8,16570,13090177.66,-182,-537.34,56955,285913163,-2005.5,1
0,3377.18,27804,67422781.68,2778,7505.56,16224,22944874.59,6067,2488.87,29153,73267453.95,3451.5,-1873.93,49358,170961353.3,-2645,178.4,24884,33084221.68,1320,3022.24,43848,132871314.9,-621.5,1
0,520.63,17073,17887512.46,1124.5,5710.57,6287,3347706.248,6088,-1554.64,35526,171510537.4,-4354.5,-3294.78,58177,342770904.3,-4887,-1015.6,24989,55568801.07,735,6810.97,21788,22752938.49,5616,1
0,-814.69,14585,21901562.03,-337,5955.79,8440,6977089.157,6289,392.09,33691,159431086.9,1744.5,-3169.55,55587,317446814.7,-2445,-147.82,23284,39647751.38,921.5,5562.56,22330,38407148.69,4219,1
0,1710.96,12747,10167846.81,2242,6865.92,8659,4410309.064,7373.5,-750.63,34942,174808291.1,-2100.5,-1213.22,56268,307318684.7,-1478,-259.88,20888,36061411.68,-92.5,4315.29,15079,10694728.98,3494.5,1
0,2345.53,7908,3980968.393,2091,6779.59,7221,2873609.032,6439,-934.33,36809,181452020.7,-405.5,-259.97,56004,333894830.3,-1354,-71.66,19496,28688475.96,290,3771.86,8410,4221021.98,3645,1
0,3211.05,5984,3197122.533,2878,7270.82,6067,2240683.361,6852,-1861.24,35795,174874064.6,-2984.5,708.73,56254,289399159.7,938.5,392.27,23147,36613165.29,1773,2999.22,6719,3322170.052,2761.5,1
0,-671.69,38642,102748421.9,1762.5,10020.5,8700,3913232.434,10645.5,3433.81,16628,28131697.43,2352,213.3,18321,19406220.17,1597.5,2545.87,23528,26733893.21,1108,-2619.41,45713,119564734.6,-4146.5,1
0,-2430.06,25831,82493661.98,1477,10396.5,7947,3108157.081,10753,5230.13,11990,18257990.98,5742.5,-416.18,16420,19922269.12,1061.5,233.74,10960,4945558.457,147,2139.72,37476,122967148.8,1944.5,1
0,-2269.32,27596,89991675.09,562,10620.47,9835,3869326.252,10911,4484.2,9975,8905202.162,4524,-249.94,10852,6201993.309,461,384.55,9923,6782470.957,-333,-1708.92,39624,121844483.6,-4395,1
0,-2917.65,25985,88092577.26,-2429,10884.58,8233,4588178.711,10897,4102.88,10187,9399055.844,3723,-1038.23,10513,7324424.502,80,18.98,10129,6224470.888,-230,1414.91,38486,125294309.4,-834,1
0,-3121.35,24571,78342955.06,-1726,10905.2,9729,3573620.485,11194,3831.2,12424,15157748.63,3695,-390.26,14884,10533309.75,637.5,613.53,16796,13313751.95,-321.5,-1458.54,37772,102734220.8,-2708,1
0,-4645,24666,72923772.85,-4745.5,10768.53,9503,6136621.868,10550.5,3492.59,15844,21329207.19,2093,-240.69,16426,14413158.58,1299.5,451.27,16458,13340577.13,-86,1398.72,32721,89323185.56,-1529.5,1
0,1175.44,17276,31220391.26,-176.5,11268.56,14612,27112895,12371.5,6115.77,15155,21789810.18,5004,-153.73,24813,44126783.17,1500.5,670.85,13449,7372304.694,711,709.82,33057,69002799.68,-315.5,1
0,1757.56,16639,34137165.44,-605.5,11671.79,13109,22914904.79,13225,6231.64,12167,15457219.2,4575,-440.07,22856,33257819.08,757.5,413.61,11199,5959336.826,108,-148.08,30780,67823026.28,-1626,1
0,1261.58,16548,32920926.39,-145,11157.75,13117,25642520.35,12041,6758.11,13644,19694217.65,5574.5,-635.75,23832,41255889.79,571,613.6,10427,4266433.636,78.5,578.95,31243,66376184.15,-551.5,1
0,2114.39,14132,23077258.75,981.5,11468.56,13583,27509010.21,13318,7187.81,12023,16776822.68,5839,-472.13,21426,35314233.02,943.5,-279.04,9084,4839479.675,-584.5,473.87,28026,53402420.82,-527,1
0,1977.23,14225,20264030.85,276.5,11399.52,16621,32620244.07,12883.5,7123.86,12272,16851323.52,6074,-604.03,23902,40681590.31,497,514.57,10081,6817264.409,264,137.39,29108,59478922.32,-1149.5,1
0,1974.47,12535,18726704.7,984,11093.65,15162,34541986.96,12737,7368.46,14597,19673299.44,6071.5,-337.93,24809,39738705.56,236,176.92,9261,4495327.367,533.5,750.22,29651,58533290.09,-948.5,1
0,997.98,4157,2808218.5,2422,-13643.54,2454,576045.25,-14191,-9096.38,3213,871074.62,-8195,-1073.4,5047,1906225.75,-457,-1286.66,8086,4295505,10,129.1,1496,131657.23,207,1
0,-754.28,19598,37907716,-1835,-7199.25,11479,7526491,-13371,-11178.75,13053,16639558,-11634,-4955.61,26664,70714192,-4418,-2753.97,21837,52375620,-4486,8862.84,17702,39883276,662,1
0,-2417.93,15948,26558824,-3947,-394.67,11366,9597342,-4428,-12486.66,13088,16929968,-14442,-3829.71,25825,72392904,-8303,-2545.16,15758,29074478,-8401,5258.58,20154,38498896,1602,1
0,-2407.7,16535,32823890,-3626,-2153.97,9972,9168088,-5264,-12952.21,13241,17826044,-16369,-4046.77,24660,62422924,397,-2349.56,21122,34052364,-6855,5384.75,21123,45683708,-5120,1
0,-2794.17,18526,34764468,-1489,-3149.82,11054,10835642,-4865,-12332.38,12756,16050029,-16111,-4697.98,23241,63166408,1811,-4231.95,23875,53426892,-13575,4758.56,21527,45815680,-3722,1
0,-4281.74,13627,21295814,-3709,-1820.64,11438,12494802,-6861,-12196.97,11989,14399200,-14357,-3292.22,24071,69949304,-1615,-5083.64,21768,40505420,-13707,5539.59,21086,40608852,-4560,1
0,-4377.77,12394,18581328,-5671,-46.25,12244,13286664,-5646,-12331.72,10699,12903914,-14994,-2248.78,28088,92712088,-3529,-4047.87,16230,29388120,-8791,4806.55,21562,37803688,-1471,1
0,-4616.94,12147,17354470,-6225,-1303.03,11853,16049638,-7825,-12214.78,12140,16036389,-14967,-1730.46,27337,83044432,973,-4383.34,18313,29287114,-8925,6134.19,21344,39294644,-4200,1
0,-5940.76,12191,15381946,-6279,-438.84,9246,9654674,-5102,-11831.24,12975,17140350,-15089,-1034.67,29094,105004592,-2019,-3799.85,14741,21598584,-8346,4969.12,21526,40336196,-1683,1
0,-6817.02,11356,12402872,-6703,-1880.56,8844,10537843,-6619,-12035.08,12405,13728829,-14666,-1875.47,29337,71556384,2158,-4154.56,18608,25658040,-5988,3895.98,20447,48084608,-4779,1
0,-5924.98,12878,15570045,-8136,-1468.63,10113,7805192.5,-6488,-12424.28,13522,17623500,-15522,-1593.11,26632,82613632,-1470,-3078.53,18633,21858466,-4618,5127.32,19500,36493956,-3562,1
0,-6228.3,9923,9881024,-7322,182.75,10832,10026268,-5853,-12741.12,11286,11519949,-15417,-1870.94,27782,77982656,-1216,-2103.57,14770,21124776,-6283,4073.41,17038,26112558,-3478,1
0,-4490.47,12559,22750528,-7616,-130.61,8164,8773854,-4212,-13578.48,10794,11257279,-15498,-952.42,28256,70764304,1444,-761.71,11977,14122218,-2283,4366.37,16750,23648482,-3410,1
0,-4108.43,11960,12592810,-1059,-655.71,7567,6001934.5,-4669,-13290.09,13088,16022900,-16694,-1324.69,24055,58112604,4107,-3704.09,19318,30220776,-5846,4992.93,17910,29887550,-1753,1
0,-4422.77,15298,27608706,-7440,-2163.37,8726,6086633,-1400,-13184.48,13053,15259407,-15465,-1967.87,25206,60127616,3485,-1970.44,19695,37455588,-3979,5359.08,17739,28215692,-3598,1
