13902,-19599,-1044,-13819,696,-18266
13393,-18647,-1416,-14700,354,-19716
12082,-17161,-1461,-15265,2132,-21021
10113,-14871,-1180,-15025,4588,-21031
8341,-12810,-927,-14808,6799,-21039
6419,-10135,-502,-14036,8134,-19722
5070,-7367,-29,-13194,8361,-17680
3856,-4875,397,-12437,8566,-15842
3292,-2716,915,-11922,8076,-14033
2953,-949,1466,-11497,7495,-12504
2647,640,1961,-11115,6972,-11128
2196,1843,2410,-10551,6697,-9827
2001,2590,2708,-9721,6836,-8006
1825,3263,2976,-8974,6962,-6367
2117,3613,3073,-8115,7498,-3842
2379,3928,3159,-7341,7980,-1570
2442,4177,2853,-6520,8901,1337
2721,4176,2306,-5718,8604,4480
2972,4176,1814,-4997,8336,7309
4050,3588,1329,-4210,6756,9854
6011,2878,883,-3520,5972,12146
7776,2240,482,-2898,5267,14208
8841,813,768,-3252,6996,16064
9109,-1297,942,-4464,8335,17734
9351,-3197,1098,-5554,9540,19237
