,accX,accY,accZ,gyroX,gyroY,gyroZ
142,4813,-16683,-7208,-24329,-1188,2603
143,4767,-15390,-7664,-22865,-2372,2737
144,5482,-13680,-7959,-21433,-3135,2807
145,5570,-12067,-8416,-19930,-2204,2721
146,4865,-10520,-9091,-18221,-791,2614
147,4372,-9151,-9566,-16601,-484,2638
148,4552,-8046,-9888,-15135,-1091,2727
149,4877,-7117,-10424,-13683,-1509,2749
150,4898,-6250,-11123,-12285,-1429,2712
151,4766,-5450,-11767,-11052,-1251,2675
152,4729,-4718,-12239,-9982,-1235,2662
153,4774,-4032,-12648,-9000,-1267,2653
154,4820,-3408,-13117,-8094,-1225,2625
155,4828,-2878,-13502,-7308,-1117,2571
156,4779,-2440,-13769,-6619,-987,2484
157,4716,-2059,-14018,-5992,-913,2361
158,4665,-1697,-14329,-5411,-941,2218
159,4675,-1363,-14622,-4899,-1038,2074
160,4675,-1076,-14846,-4460,-1089,1930
161,4673,-826,-14978,-4072,-1078,1791
162,4713,-613,-15037,-3722,-1039,1659
163,4816,-418,-15021,-3386,-953,1532
164,4949,-273,-14932,-3050,-762,1401
165,5080,-252,-14707,-2691,-422,1262
166,5229,-436,-14209,-2241,31,1127
167,5396,-780,-13418,-1570,642,963
168,5463,-1204,-12522,-568,1523,760
169,5498,-1691,-11613,754,2575,580
170,5557,-2190,-10830,2385,3704,455
171,5664,-2696,-10215,4224,4842,400
172,5929,-3210,-9734,6164,6023,424
173,6345,-3722,-9390,8125,7412,595
174,6686,-4288,-9570,10132,9209,901
175,6930,-4958,-10188,12009,11139,1459
176,7316,-5791,-10725,13527,12520,2413
177,7983,-6618,-11061,14835,13334,3652
178,8771,-7429,-11142,16019,14000,4992
179,9439,-8325,-11134,17079,15048,6246
180,9743,-9297,-11058,17963,16342,7391
181,9904,-10246,-10906,18614,17406,8523
182,10026,-11118,-10610,19003,17963,9608
183,10065,-11842,-10257,19217,17913,10563
184,10098,-12487,-9797,19159,17390,11428
185,10191,-13049,-9273,18827,16641,12186
186,10217,-13558,-8777,18351,15828,12722
187,10108,-13969,-8375,17777,14876,13006
188,9961,-14280,-8050,17079,13612,13097
189,9872,-14525,-7689,16236,11974,13029
190,9824,-14727,-7163,15296,10066,12814
191,9740,-14892,-6537,14357,8106,12467
192,9638,-15019,-5952,13499,6226,12023
193,9580,-15076,-5442,12729,4544,11537
194,9595,-15099,-4935,12007,3247,11033
195,9513,-15089,-4447,11352,2380,10512
196,9326,-15069,-4000,10748,1766,9984
197,9114,-15067,-3610,10146,1155,9443
198,8928,-15069,-3303,9518,396,8873
199,8810,-15051,-3059,8844,-491,8261
200,8736,-15025,-2820,8113,-1347,7603
201,8681,-15028,-2554,7335,-2033,6905
202,8592,-15037,-2299,6539,-2494,6173
203,8448,-15024,-2111,5725,-2764,5432
204,8323,-15010,-1942,4871,-2894,4709
205,8237,-15020,-1775,3996,-2851,4009
206,8154,-15037,-1656,3139,-2631,3335
207,8025,-15055,-1587,2305,-2341,2681
208,7858,-15080,-1552,1480,-2139,2053
209,7732,-15113,-1573,659,-2096,1450
210,7605,-15160,-1657,-177,-2170,859
211,7457,-15235,-1746,-1053,-2385,291
212,7267,-15312,-1871,-1937,-2860,-240
213,7119,-15390,-2084,-2818,-3716,-717
214,7076,-15472,-2394,-3707,-4886,-1130
215,7152,-15528,-2769,-4632,-6111,-1473
216,7246,-15659,-3011,-5641,-7132,-1805
217,7231,-15765,-3214,-6588,-7887,-2125
218,7227,-15828,-3418,-7465,-8542,-2310
219,7257,-15844,-3703,-8276,-9044,-2376
220,7244,-15844,-4047,-9047,-9255,-2379
221,7160,-15831,-4444,-9759,-9282,-2346
222,7105,-15810,-4796,-10446,-9317,-2216
223,7073,-15746,-5172,-11070,-9325,-1997
224,7025,-15647,-5605,-11623,-9239,-1751
225,6910,-15532,-6154,-12117,-9080,-1511
226,6708,-15437,-6744,-12591,-9028,-1287
227,6550,-15317,-7241,-13068,-9233,-969
228,6514,-15140,-7639,-13512,-9585,-555
229,6458,-14899,-8078,-13884,-9793,-161
230,6377,-14661,-8508,-14232,-9802,197
231,6265,-14427,-8894,-14515,-9709,544
232,6149,-14121,-9392,-14686,-9565,895
233,6044,-13774,-9945,-14827,-9289,1228
234,5840,-13412,-10577,-14964,-8785,1524
235,5539,-13042,-11259,-15116,-8213,1793
236,5231,-12648,-11864,-15289,-7766,2050
237,5024,-12223,-12352,-15475,-7465,2292
238,4857,-11785,-12902,-15666,-7122,2496
239,4557,-11380,-13774,-15879,-6590,2646
240,3913,-10972,-14947,-16180,-5969,2751
241,3209,-10476,-16019,-16704,-5596,2951
242,2863,-9938,-16842,-17496,-5431,3307
243,2833,-9312,-17398,-18508,-4823,3732
244,4537,-9618,-13088,-19864,-2730,3955
245,3267,-10204,-12885,-18947,506,3029
246,3528,-9880,-12471,-18344,167,2938
247,4795,-8980,-12133,-17647,-1121,2891
248,5552,-8108,-11900,-16797,-913,2468
249,5539,-7066,-12121,-15649,497,1894
250,4953,-5988,-12610,-14453,1809,1333
251,4472,-5069,-12813,-13379,2284,965
252,4300,-4312,-12840,-12344,2313,783
253,4326,-3640,-12922,-11296,2333,688
254,4334,-3047,-13180,-10247,2395,612
255,4346,-2508,-13489,-9244,2317,544
256,4384,-2041,-13704,-8333,2130,489
257,4424,-1641,-13795,-7491,1988,452
258,4471,-1317,-13751,-6691,1947,437
259,4502,-1079,-13598,-5886,1995,451
260,4621,-929,-13306,-5047,2122,546
261,4671,-946,-12941,-4139,2459,630
262,4706,-1062,-12480,-3090,2870,710
263,4741,-1257,-11973,-1854,3218,775
264,4719,-1519,-11544,-395,3453,800
265,4651,-1840,-11285,1276,3483,792
266,4651,-2217,-11172,3063,3314,813
267,4777,-2637,-11068,4845,3121,912
268,4870,-3099,-11068,6625,3096,1021
269,4909,-3616,-11231,8384,3149,1138
270,5038,-4191,-11563,10066,3145,1302
271,5301,-4822,-11896,11618,3095,1487
272,5558,-5485,-12295,13055,3280,1660
273,5653,-6168,-12775,14395,3601,1797
274,5888,-6787,-13112,15526,3793,2079
275,6144,-7453,-13360,16458,4036,2350
276,6326,-8089,-13581,17278,4402,2546
277,6429,-8722,-13643,17932,4725,2730
278,6555,-9325,-13543,18431,4861,2913
279,6749,-9929,-13295,18792,4818,3110
280,6987,-10510,-12957,19077,4764,3336
281,7263,-10995,-12598,19295,4896,3619
282,7702,-11445,-12131,19342,5335,4010
283,8230,-11966,-11563,19250,6184,4410
284,8619,-12518,-11063,19154,7532,4706
285,8827,-13028,-10684,19052,9224,4921
286,9017,-13518,-10324,18832,10960,5134
287,9211,-13894,-9907,18531,12598,5327
288,9239,-14142,-9434,18125,14194,5443
289,9063,-14330,-8803,17538,15716,5498
290,8696,-14505,-8147,16807,17054,5595
291,8274,-14635,-7523,15982,17962,5748
292,7875,-14740,-6925,15081,18132,5905
293,7540,-14810,-6363,14147,17463,5987
294,7303,-14849,-5831,13184,16038,5969
295,7168,-14901,-5288,12181,14086,5855
296,7095,-14952,-4735,11168,11848,5646
297,7045,-14974,-4185,10187,9508,5346
298,7026,-14969,-3665,9246,7227,4986
299,7030,-14964,-3172,8325,5131,4613
300,7009,-14981,-2711,7458,3307,4207
301,6983,-15001,-2300,6661,1797,3791
302,7007,-15037,-1916,5901,601,3418
303,7018,-15060,-1580,5191,-269,3056
304,6951,-15065,-1314,4518,-868,2680
305,6831,-15068,-1128,3865,-1350,2300
306,6728,-15073,-1034,3206,-1888,1917
307,6715,-15079,-995,2522,-2555,1537
308,6753,-15087,-990,1818,-3281,1142
309,6787,-15110,-1009,1085,-3968,737
310,6826,-15146,-1085,333,-4595,326
311,6959,-15189,-1193,-452,-5195,-89
312,7100,-15244,-1297,-1262,-5733,-545
313,7180,-15300,-1410,-2070,-6191,-1038
314,7278,-15316,-1583,-2868,-6606,-1525
315,7474,-15339,-1753,-3715,-6974,-1977
316,7695,-15390,-1970,-4588,-7196,-2377
317,7890,-15435,-2318,-5446,-7239,-2740
318,8214,-15455,-2691,-6410,-7054,-3060
319,8470,-15543,-3079,-7426,-6453,-3500
320,8618,-15606,-3571,-8380,-5582,-4009
321,8700,-15657,-4095,-9316,-4776,-4484
322,8738,-15666,-4611,-10232,-4239,-4917
323,8789,-15623,-5147,-11128,-4045,-5291
324,8843,-15541,-5696,-11994,-4173,-5599
325,8917,-15422,-6210,-12824,-4577,-5826
326,9004,-15252,-6688,-13609,-5153,-5967
327,9061,-15051,-7189,-14333,-5794,-6047
328,9066,-14843,-7670,-15008,-6496,-6061
329,9056,-14575,-8083,-15641,-7288,-5925
330,9017,-14268,-8417,-16201,-8131,-5669
331,8937,-13899,-8706,-16648,-8908,-5337
332,8842,-13505,-8961,-16985,-9529,-4918
333,8676,-13084,-9228,-17189,-9924,-4428
334,8418,-12660,-9587,-17266,-10156,-3878
335,8116,-12248,-10175,-17244,-10358,-3272
336,7711,-11890,-11349,-17179,-10706,-2639
337,7381,-11609,-12818,-17316,-11513,-1949
338,7431,-11244,-13928,-17850,-12562,-1201
339,7442,-10727,-14872,-18616,-12873,-637
340,7473,-9975,-15630,-19534,-12143,-266
341,8507,-9516,-12671,-20683,-9922,-248
342,6733,-9740,-11413,-20606,-5653,-653
343,5964,-9579,-10151,-19781,-4093,-673
344,5829,-8915,-10341,-18619,-4881,-308
345,6224,-7812,-10642,-17392,-5781,0
346,6529,-6778,-10906,-16245,-5469,162
347,6286,-5803,-11427,-15033,-4024,161
348,5650,-4904,-12011,-13825,-2700,126
349,5262,-4125,-12305,-12745,-2315,191
350,5282,-3437,-12373,-11737,-2408,308
351,5441,-2843,-12438,-10738,-2304,388
352,5475,-2306,-12734,-9732,-1926,396
353,5400,-1811,-13173,-8786,-1638,360
354,5353,-1355,-13535,-7942,-1617,328
355,5383,-945,-13737,-7190,-1674,311
356,5396,-587,-13883,-6502,-1563,297
357,5347,-252,-14103,-5856,-1327,279
358,5307,87,-14335,-5271,-1159,258
359,5305,413,-14522,-4748,-1064,228
360,5296,692,-14642,-4268,-925,187
361,5278,912,-14679,-3818,-706,143
362,5263,1085,-14656,-3376,-432,100
363,5255,1192,-14559,-2928,-138,64
364,5273,1182,-14357,-2447,144,48
365,5393,1113,-13921,-1874,435,75
366,5671,961,-13174,-1173,1002,125
367,5814,728,-12490,-209,2116,164
368,5776,390,-11985,1031,3492,213
369,5723,-48,-11528,2461,4661,310
370,5881,-559,-11017,3991,5533,484
371,6203,-1124,-10597,5608,6455,699
372,6568,-1768,-10395,7231,7666,960
373,6927,-2525,-10250,8756,9215,1336
374,7261,-3320,-10150,10187,11116,1897
375,7604,-4121,-10076,11497,13066,2636
376,7993,-4937,-10091,12699,14773,3603
377,8429,-5774,-10109,13802,16159,4813
378,8864,-6665,-10092,14744,17399,6241
379,9150,-7554,-10108,15558,18276,7832
