accX,accY,accZ,gyroX,gyroY,gyroZ
5951,-4647,-12285,-13829,-8076,9254
5759,-3684,-12415,-12539,-6832,8702
5644,-2913,-12476,-11269,-5474,8084
5625,-2351,-12410,-10014,-3958,7465
5744,-1969,-12222,-8735,-2261,6901
6012,-1748,-11988,-7357,-387,6303
6479,-1628,-11719,-5882,1641,5716
7318,-1574,-11409,-4303,3858,5047
8198,-1686,-11077,-2619,6416,4211
8801,-1894,-10809,-736,9051,3241
9100,-2321,-10679,1235,11423,2115
9211,-2838,-10555,3256,13557,1144
9131,-3249,-10319,5308,15478,671
8890,-3619,-9990,7264,17207,822
8761,-4067,-9623,9022,18763,1673
8927,-4576,-9252,10579,20163,3233
9362,-5156,-8855,11873,21313,5216
10070,-5716,-8529,12952,21524,7313
11086,-6357,-8250,13698,21379,9426
11990,-6961,-8020,14110,21306,11450
12499,-7379,-7835,14289,21414,13260
12908,-7897,-7559,14001,21409,14928
13297,-8591,-7166,13318,20837,16509
13569,-9283,-6653,12518,19592,17973
13539,-9859,-6121,11690,17935,19304
13292,-10193,-5604,11025,15995,20398
13101,-10542,-5167,10586,13657,20761
12887,-11101,-4772,10209,10698,20429
12747,-12936,-3977,9225,7256,20563
12862,-14208,-3436,8890,4198,21149
13320,-14569,-3169,9096,2060,21536
13675,-14836,-2808,8986,744,21318
13760,-14935,-2429,8625,448,20595
13652,-14949,-2010,7987,1016,19613
13348,-14936,-1635,7186,1968,18484
12902,-14906,-1331,6363,2818,17253
12458,-14854,-1054,5568,3331,16062
12001,-14824,-746,4797,3567,14924
11493,-14815,-391,4077,3667,13832
10997,-14821,-13,3460,3721,12806
10565,-14812,372,2984,3784,11825
10213,-14781,737,2626,3854,10873
9938,-14763,1098,2339,3884,9939
9690,-14754,1412,2109,3846,8988
9448,-14748,1677,1908,3713,8011
9209,-14767,1898,1706,3456,7021
8971,-14803,2082,1501,3089,6014
8709,-14847,2233,1297,2670,4994
8406,-14894,2381,1091,2251,3994
8098,-14931,2506,903,1864,3054
7804,-14949,2610,745,1482,2199
7524,-14945,2687,624,1033,1425
7309,-14942,2709,546,424,744
7187,-14934,2708,506,-356,95
7158,-14926,2755,449,-1268,-537
7207,-14942,2738,413,-2326,-1197
7379,-15041,2551,420,-3690,-1961
7800,-15181,2344,390,-5490,-2850
8501,-15355,2121,259,-7628,-3868
9337,-15496,1658,93,-9946,-5049
10425,-15719,1010,-266,-12228,-6424
11794,-15942,263,-841,-14282,-7802
13139,-15937,-789,-1653,-15747,-9142
13842,-15902,-2360,-2970,-16489,-10645
13751,-15889,-4153,-4920,-16952,-12009
13310,-15935,-5912,-7418,-17831,-12866
12829,-15979,-7307,-9953,-19182,-13100
12100,-16026,-8411,-12234,-20431,-12867
11095,-16148,-9398,-14288,-21515,-12317
9999,-16402,-10185,-16136,-22603,-11325
9222,-16738,-10702,-17799,-23619,-9673
8750,-16999,-11059,-19296,-24534,-7720
8266,-17147,-11505,-20643,-25357,-5700
8107,-17147,-11820,-21741,-26098,-3513
8206,-16575,-12344,-22445,-26765,-1334
10662,-16233,-8520,-23478,-27365,1475
11859,-16833,-8062,-23407,-27165,3070
11088,-15879,-8293,-20607,-27582,2837
10310,-13683,-8949,-17748,-27019,2769
9660,-11707,-8884,-16377,-24575,3618
8637,-10054,-9470,-14781,-21407,3774
7596,-8414,-10232,-12754,-18696,3176
6839,-7304,-10799,-11484,-16544,3091
6105,-6218,-11389,-10229,-14620,2922
5496,-5315,-11918,-9103,-12734,2783
5055,-4565,-12326,-8037,-10792,2660
4706,-3857,-12684,-6975,-8769,2467
4540,-3280,-12921,-6075,-6789,2209
4597,-2785,-12965,-5315,-4917,1929
4875,-2289,-12944,-4555,-2945,1552
5378,-1884,-12958,-3899,-753,1110
6103,-1811,-12670,-3264,1659,706
6698,-1868,-12525,-2166,4437,20
7086,-2107,-12520,-810,7270,-1059
7319,-2470,-12494,635,9820,-2269
7403,-2822,-12361,2141,12115,-3255
7315,-3106,-12174,3666,14180,-3860
7268,-3418,-12036,5129,16039,-3892
7443,-3755,-11906,6452,17711,-3185
7716,-3997,-11705,7691,19217,-2022
7931,-4165,-11437,8758,20572,-616
8340,-4451,-11140,9496,21524,1086
9058,-4915,-10764,9904,21867,3018
9738,-5254,-10387,10221,21805,4849
10203,-5559,-9988,10383,21422,6488
10757,-6031,-9609,10338,20642,8123
11284,-6613,-9333,10176,19266,9739
11518,-7194,-9155,9966,17085,11223
11798,-7879,-8935,9730,13969,12573
12663,-8536,-8568,9509,10313,13918
13709,-8979,-8032,9483,6962,14996
14605,-9347,-7454,9380,5782,15702
14785,-9668,-7199,9252,7011,15632
14460,-9852,-6908,8851,8777,15242
13949,-10149,-6507,8188,10018,14817
13548,-10689,-5906,7394,10321,14493
13174,-11211,-5298,6779,9948,14335
12912,-11669,-4730,6408,9067,14187
12825,-12057,-4169,6179,7990,14010
12723,-12404,-3592,6003,7066,13763
12463,-12696,-3032,5849,6370,13432
12078,-12959,-2507,5691,5696,13045
11625,-13176,-1986,5521,4809,12639
11169,-13194,-1529,5362,3620,12175
10832,-13256,-1038,5140,2077,11565
10551,-13395,-567,4861,412,10989
10313,-13704,-79,4638,-1125,10481
10206,-13967,305,4580,-2351,10048
10235,-14044,623,4691,-3152,9618
10192,-14166,923,4756,-3269,9072
9960,-14268,1132,4808,-2416,8412
9550,-14333,1236,4792,-803,7723
8976,-14306,1237,4699,735,6958
8443,-14464,1468,4324,1592,6255
8031,-14658,1764,3876,2239,5755
7682,-14828,2011,3538,2694,5300
7430,-15022,2244,3185,2802,4893
7252,-15208,2483,2834,2680,4532
7073,-15308,2706,2517,2510,4186
6911,-15323,2895,2221,2365,3895
6810,-15250,3023,1964,2206,3666
6758,-15090,3120,1741,2025,3483
6749,-14889,3259,1527,1880,3339
6784,-14696,3446,1340,1818,3236
6722,-14530,3577,1228,1828,3127
6596,-14409,3678,1183,1722,2987
6550,-14400,3800,1141,1288,2908
6553,-14469,3853,1184,402,2855
6654,-14569,3791,1345,-1008,2702
7003,-14637,3606,1559,-2895,2385
7620,-14603,3321,1705,-5085,1923
8466,-14523,2968,1647,-7297,1206
9432,-14499,2651,1276,-9244,112
10407,-14578,2387,552,-10702,-1274
11337,-14822,2147,-493,-11505,-2865
12204,-15174,1719,-1732,-11472,-4595
12864,-15635,1130,-3140,-10646,-6468
13188,-16116,478,-4642,-9370,-8389
13292,-16484,-165,-6121,-8119,-10249
13236,-16679,-861,-7527,-7172,-11969
13070,-16715,-1632,-8879,-6759,-13467
12891,-16635,-2451,-10259,-7041,-14682
12597,-16507,-3375,-11689,-8055,-15579
12227,-16333,-4444,-13176,-9933,-16086
11840,-16137,-5528,-14777,-12216,-16128
11446,-15938,-6667,-16418,-14271,-15640
11107,-15725,-7915,-18032,-16121,-14561
10692,-15554,-9215,-19506,-17785,-12959
10447,-15445,-10290,-20832,-19284,-10913
10173,-15173,-11191,-22025,-20632,-8605
9851,-14722,-11901,-23099,-21845,-6131
11961,-14282,-8392,-24066,-22289,-3432
13905,-15335,-7297,-24936,-19543,-884
13663,-15059,-7274,-23361,-17086,-494
12302,-13538,-7341,-21404,-16445,-1342
11343,-11703,-7441,-19541,-15444,-1396
11031,-10330,-7223,-18392,-13695,-319
10063,-8798,-7893,-16569,-11446,365
9349,-7649,-8482,-14889,-10340,811
9027,-6503,-9156,-13227,-9927,1191
8690,-5459,-9785,-11723,-9318,1440
8244,-4545,-10434,-10426,-8453,1612
7651,-3727,-11169,-9252,-7625,1653
7265,-3161,-11476,-8388,-7156,1828
7184,-2691,-11643,-7480,-6814,2095
7272,-2240,-11725,-6514,-6153,2211
7516,-1955,-11624,-5589,-5198,2127
7896,-1724,-11405,-4526,-4041,2021
8377,-1485,-11100,-3304,-2578,1866
8966,-1445,-10796,-1931,-687,1380
9458,-1570,-10786,-242,1632,348
9737,-1908,-11160,1572,4242,-1041
9837,-2375,-11495,3329,7074,-2560
9895,-2868,-11682,4945,9644,-3832
9859,-3137,-11820,6567,11956,-4605
9584,-3230,-11845,8022,14037,-4757
9417,-3343,-11797,9068,15910,-4139
9879,-3714,-11492,9613,17596,-2631
10684,-4111,-11051,9837,19113,-560
11105,-4341,-10529,9908,20478,1444
11114,-4477,-10050,9676,21707,3192
11035,-4822,-9358,8857,22813,4948
11340,-5559,-8368,7756,22325,6901
12009,-6363,-7312,6830,20554,8887
12792,-6987,-6346,6162,18475,10731
13438,-7514,-5452,5592,16714,12181
13755,-8000,-4642,5020,15509,13170
13765,-8384,-3956,4449,14694,13820
13597,-8699,-3383,3881,13924,14312
13450,-9086,-2822,3282,12949,14793
13291,-9591,-2257,2614,11938,15285
13099,-10127,-1742,1957,10928,15524
12793,-10920,-1243,1242,9961,15570
12504,-11557,-877,624,9023,15649
12239,-12272,-500,-15,7703,15739
12099,-12816,-18,-448,5290,15828
12162,-13229,392,-622,2216,15840
12441,-13486,787,-651,-717,15724
12729,-13631,1101,-647,-2614,15226
12827,-13699,1389,-711,-3491,14350
12786,-13679,1703,-819,-3618,13330
12713,-13657,2043,-985,-3066,12326
12668,-13600,2358,-1168,-1748,11446
12540,-13587,2643,-1430,485,10797
12092,-13655,2910,-1713,3264,10343
11389,-13785,3252,-1821,5511,9953
10750,-13961,3619,-1719,7055,9626
10205,-14126,3959,-1467,8057,9219
9693,-14283,4260,-1141,8740,8680
9236,-14393,4530,-779,9203,8041
8782,-14473,4833,-413,9493,7318
8303,-14563,5099,-18,9622,6461
7868,-14645,5270,445,9513,5476
7597,-14727,5381,924,9027,4512
7586,-14731,5457,1425,7957,3644
7803,-14734,5628,1896,6410,2715
8066,-14777,5788,2319,4905,1626
8200,-14864,5863,2674,3747,424
8155,-14973,5845,2951,2823,-736
7993,-15032,5675,3185,1704,-1710
7806,-15042,5442,3479,-172,-2582
7817,-14964,5133,3849,-2789,-3414
8073,-14810,4802,4180,-5787,-4142
8455,-14625,4386,4415,-8485,-4821
9005,-14467,3958,4511,-10913,-5520
9832,-14392,3800,4423,-13098,-6154
10783,-14306,3657,4326,-15065,-6793
11479,-14177,3199,4316,-16078,-7737
11826,-14073,2564,4168,-16367,-8886
11979,-13872,1875,3885,-16612,-9948
12066,-13546,1065,3475,-17245,-10867
12177,-13165,126,2835,-18326,-11546
12465,-12792,-748,1854,-19737,-11907
12768,-12391,-1515,577,-21040,-11964
13078,-12014,-2288,-899,-22212,-11796
13293,-11668,-3240,-2410,-23268,-11398
13299,-11300,-4263,-3929,-24218,-10795
13149,-10995,-5220,-5467,-25073,-10020
13062,-10712,-6123,-6919,-25842,-9012
12959,-10401,-7079,-8165,-26535,-7875
12618,-10103,-8079,-9226,-27158,-6707
12130,-9876,-9000,-10241,-27719,-5435
11653,-9703,-9858,-11183,-28073,-4041
11112,-9518,-10781,-11929,-28066,-2594
10437,-9395,-11726,-12589,-27737,-1255
9738,-9300,-12719,-13217,-27158,15
9231,-9059,-13650,-13998,-26122,1465
11584,-9173,-9806,-15875,-23899,3555
12095,-9954,-9025,-15761,-18895,4226
10139,-9636,-9886,-14124,-14857,2417
9328,-9159,-10606,-12894,-13465,1786
9714,-8380,-10014,-12705,-12344,3001
9423,-7145,-10085,-12279,-11006,4052
8945,-6016,-10520,-11202,-10058,4159
8571,-5326,-10825,-10561,-9554,4174
8283,-4647,-11109,-9826,-9224,4069
7966,-3996,-11395,-8991,-9104,3827
7645,-3358,-11636,-8163,-9219,3610
7189,-2776,-11867,-7353,-9462,3410
6863,-2283,-11994,-6604,-9608,3345
