,accX,accY,accZ,gyroX,gyroY,gyroZ
137,-7371,-1129,-11056,-2418,298,50
138,-7267,-1196,-10986,-1824,1157,-844
139,-7076,-1344,-10861,-1154,1891,-1797
140,-6930,-1590,-10808,-389,2540,-2799
141,-6800,-1940,-10776,432,3064,-3823
142,-6595,-2360,-10711,1313,3407,-4843
143,-6356,-2841,-10638,2292,3690,-5860
144,-6316,-3385,-10690,3407,4082,-6963
145,-6586,-3999,-10832,4586,4574,-8083
146,-6899,-4648,-10978,5750,4915,-8946
147,-7028,-5334,-11057,6843,4844,-9503
148,-6943,-5981,-11104,7905,4459,-9805
149,-6857,-6654,-11143,8966,4125,-10037
150,-6909,-7371,-11172,10050,4162,-10312
151,-6995,-8074,-11167,11138,4538,-10492
152,-6961,-8759,-11122,12217,5094,-10489
153,-6827,-9447,-11018,13314,5775,-10471
154,-6691,-10186,-10878,14438,6679,-10545
155,-6519,-10939,-10790,15565,7861,-10541
156,-6338,-11762,-10734,16662,8894,-10429
157,-6274,-12522,-10750,17705,9376,-10232
158,-6068,-13387,-10620,18620,9209,-9861
159,-5826,-14018,-10458,19584,8831,-9295
160,-5554,-14588,-10187,20291,8338,-8614
161,-5266,-15066,-9862,20723,7781,-7824
162,-4930,-15504,-9465,20873,7164,-6995
163,-4519,-15863,-9116,20874,6658,-6291
164,-4129,-16063,-8868,20745,6278,-5758
165,-3766,-16081,-8689,20444,5945,-5451
166,-3363,-15972,-8387,19808,5580,-5271
167,-2940,-15866,-7960,18766,5225,-5082
168,-2525,-15828,-7500,17406,4895,-4866
169,-2146,-15837,-7065,15936,4557,-4634
170,-1815,-15840,-6722,14528,4177,-4383
171,-1481,-15834,-6390,13202,3705,-4067
172,-1113,-15793,-6087,11990,3212,-3709
173,-765,-15724,-5796,10828,2815,-3379
174,-468,-15664,-5557,9643,2549,-3091
175,-232,-15609,-5374,8429,2355,-2842
176,-31,-15555,-5227,7174,2169,-2630
177,140,-15528,-5079,5852,1977,-2453
178,286,-15543,-4983,4486,1798,-2311
179,369,-15591,-4991,3125,1612,-2206
180,410,-15630,-5135,1764,1363,-2106
181,424,-15716,-5305,267,995,-1924
182,410,-15886,-5494,-1348,555,-1674
183,344,-16100,-5754,-3012,88,-1383
184,175,-16353,-6083,-4731,-423,-1020
185,-106,-16656,-6439,-6465,-1088,-557
186,-392,-16971,-6850,-8141,-1991,26
187,-742,-17211,-7422,-9745,-3125,610
188,-1222,-17527,-7933,-11547,-4625,1221
189,-1755,-17890,-8345,-13339,-6419,2043
190,-2283,-18198,-8617,-14887,-8232,3066
191,-2812,-18394,-8856,-16206,-9615,4274
192,-3381,-18514,-9003,-17378,-10340,5702
193,-4014,-18538,-9162,-18405,-10423,7389
194,-4671,-18497,-9285,-19252,-10185,9147
195,-5249,-18337,-9380,-19881,-9878,10913
196,-5716,-18061,-9451,-20284,-9579,12610
197,-6148,-17661,-9542,-20456,-9319,14169
198,-6472,-17160,-9595,-20438,-9187,15576
199,-6762,-16564,-9710,-20232,-9120,16761
200,-6946,-15909,-9808,-19916,-9020,17752
201,-7120,-15111,-9956,-19489,-8736,18575
202,-6786,-14113,-9356,-19014,-8239,19180
203,-4768,-13765,-8424,-18222,-7749,19542
204,-4099,-13106,-8539,-16864,-6928,18971
205,-3996,-12069,-8880,-15638,-6501,17802
206,-3653,-10760,-8974,-14367,-6295,16446
207,-3943,-9652,-8918,-13114,-5458,14932
208,-4584,-8510,-8904,-11785,-4572,13233
209,-5159,-7412,-9087,-10491,-4240,11657
210,-5614,-6466,-9359,-9305,-4192,10354
211,-6079,-5635,-9658,-8262,-4057,9208
212,-6604,-4866,-9965,-7359,-3833,8168
213,-7091,-4149,-10238,-6596,-3618,7276
214,-7522,-3490,-10485,-5944,-3385,6528
215,-7914,-2897,-10682,-5375,-3110,5886
216,-8226,-2385,-10842,-4877,-2831,5346
217,-8483,-1933,-10964,-4438,-2556,4861
218,-8752,-1541,-11051,-4042,-2270,4400
219,-9014,-1212,-11149,-3682,-2007,3982
220,-9198,-944,-11230,-3371,-1756,3615
221,-9342,-693,-11305,-3102,-1501,3259
222,-9511,-436,-11374,-2875,-1252,2902
223,-9677,-200,-11425,-2685,-1022,2564
224,-9808,14,-11478,-2511,-843,2261
225,-9888,199,-11536,-2359,-708,1993
226,-9975,375,-11607,-2226,-589,1747
227,-10062,555,-11668,-2111,-483,1515
228,-10108,733,-11709,-2009,-410,1315
229,-10167,888,-11752,-1908,-353,1132
230,-10202,1015,-11783,-1815,-329,975
231,-10212,1125,-11804,-1732,-324,837
232,-10201,1223,-11832,-1661,-320,700
233,-10125,1305,-11846,-1607,-331,560
234,-9969,1377,-11822,-1567,-345,409
235,-9763,1445,-11774,-1526,-346,223
236,-9585,1491,-11761,-1462,-325,-22
237,-9414,1488,-11758,-1376,-256,-328
238,-9189,1440,-11743,-1261,-114,-682
239,-8957,1327,-11739,-1086,153,-1125
240,-8786,1144,-11768,-845,589,-1684
241,-8624,877,-11772,-564,1114,-2335
242,-8397,545,-11733,-232,1632,-3059
243,-8080,155,-11675,152,2124,-3859
244,-7965,-331,-11748,613,2718,-4794
245,-7980,-891,-11795,1100,3394,-5815
246,-7953,-1433,-11790,1635,3933,-6790
247,-7779,-1967,-11730,2213,4323,-7626
248,-7645,-2493,-11692,2885,4709,-8412
249,-7734,-3019,-11760,3668,5140,-9167
250,-7898,-3588,-11839,4496,5440,-9775
251,-7870,-4111,-11875,5354,5448,-10185
252,-7689,-4632,-11854,6216,5333,-10527
253,-7546,-5121,-11827,7122,5334,-10853
254,-7530,-5615,-11854,8045,5431,-11086
255,-7528,-6166,-11837,8941,5520,-11170
256,-7461,-6746,-11777,9861,5620,-11083
257,-7285,-7298,-11691,10829,5758,-10853
258,-7009,-7891,-11556,11789,5981,-10540
259,-6694,-8570,-11427,12800,6401,-10192
260,-6365,-9333,-11281,13898,7125,-9842
261,-5993,-10131,-11111,15073,8245,-9472
262,-5644,-10909,-11042,16272,9649,-9086
263,-5401,-11621,-10959,17289,10652,-8669
264,-5209,-12494,-10745,18044,10953,-8100
265,-4914,-13224,-10423,18870,10782,-7417
266,-4616,-13858,-10087,19634,10422,-6727
267,-4306,-14494,-9726,20179,9879,-5965
268,-3990,-15092,-9424,20628,9209,-5167
269,-3695,-15493,-9162,21018,8485,-4433
270,-3352,-15739,-8918,21195,7746,-3842
271,-3002,-15772,-8710,21103,7054,-3477
272,-2602,-15663,-8375,20526,6419,-3292
273,-2186,-15585,-7886,19365,5887,-3164
274,-1832,-15632,-7380,17816,5477,-3042
275,-1555,-15720,-6941,16221,5111,-2940
