,accX,accY,accZ,gyroX,gyroY,gyroZ
141,5336,-15945,-14607,-17036,-16780,-4594
142,4567,-16026,-15661,-18609,-16275,-3812
143,3778,-16085,-16610,-20025,-15829,-2852
144,3012,-16065,-17381,-21299,-15346,-1736
145,2283,-16058,-18012,-22446,-14573,-436
146,1587,-16073,-18435,-23478,-13252,1106
147,3101,-17742,-14021,-24407,-11077,2726
148,2976,-19240,-11950,-24527,-7269,3421
149,4020,-18646,-12022,-23292,-5830,3931
150,4709,-17376,-11854,-22104,-5034,4237
151,4858,-16202,-11305,-21196,-4106,4309
152,4266,-14726,-11221,-19951,-2949,4203
153,4091,-13291,-11180,-18665,-2424,4205
154,4125,-12040,-11223,-17412,-2259,4255
155,4104,-10852,-11463,-16138,-2159,4134
156,4063,-9744,-11785,-14900,-2160,3836
157,4039,-8703,-12139,-13684,-2279,3472
158,4101,-7686,-12472,-12484,-2430,3109
159,4239,-6707,-12746,-11335,-2485,2773
160,4308,-5776,-13054,-10228,-2411,2459
161,4333,-4906,-13356,-9181,-2315,2175
162,4286,-4107,-13678,-8208,-2226,1908
163,4243,-3404,-13954,-7344,-2134,1670
164,4245,-2769,-14200,-6570,-1992,1455
165,4253,-2212,-14414,-5883,-1791,1251
166,4265,-1737,-14562,-5272,-1531,1048
167,4253,-1332,-14691,-4727,-1210,852
168,4243,-983,-14788,-4221,-866,667
169,4311,-736,-14842,-3734,-508,483
170,4450,-558,-14857,-3207,-97,308
171,4613,-494,-14750,-2669,431,104
172,4769,-487,-14533,-2116,1201,-57
173,4980,-600,-14171,-1588,2313,-98
174,5185,-832,-13706,-1020,3862,-9
175,5334,-1127,-13172,-316,5845,187
176,5447,-1500,-12603,554,8195,476
177,5531,-1934,-12092,1624,10652,932
178,5609,-2402,-11645,2902,12864,1596
179,5668,-2874,-11284,4361,14854,2492
180,5777,-3275,-11041,5989,16645,3648
181,5948,-3698,-10818,7599,18257,5033
182,6284,-4245,-10560,9033,19581,6639
183,6734,-4930,-10286,10275,20257,8457
184,7221,-5696,-10108,11357,20433,10438
185,7781,-6545,-9880,12176,20160,12520
186,8334,-7454,-9601,12759,19522,14544
187,8803,-8384,-9300,13147,18624,16367
188,9166,-9394,-8990,13313,17456,18007
189,9481,-10478,-8663,13247,15989,19483
190,9703,-11592,-8336,12998,14277,20811
191,9629,-12567,-8061,12611,12446,22007
192,9619,-13639,-8095,12002,10143,23083
193,9954,-14723,-7917,11370,6929,23621
194,10707,-15516,-7615,10908,3520,23433
195,11449,-15945,-7328,10477,1083,22800
196,11836,-16102,-7085,9970,136,21786
197,11760,-16071,-6933,9313,307,20326
198,11419,-16033,-6766,8382,805,18563
199,11011,-16055,-6579,7326,1031,16675
200,10654,-16038,-6369,6332,794,14821
201,10344,-16017,-6133,5435,232,12991
202,10064,-16009,-5862,4632,-476,11184
203,9824,-15991,-5555,3919,-1194,9456
204,9629,-15983,-5194,3272,-1775,7853
205,9386,-15992,-4793,2696,-2064,6428
206,9041,-16008,-4347,2233,-2033,5161
207,8633,-16017,-3888,1909,-1797,4023
208,8147,-15987,-3444,1704,-1459,3050
209,7674,-15967,-3032,1557,-1138,2266
210,7161,-15925,-2659,1445,-853,1686
211,6697,-15897,-2337,1310,-674,1264
212,6300,-15878,-2086,1138,-630,981
213,5972,-15873,-1894,939,-698,786
214,5692,-15875,-1731,730,-826,644
215,5434,-15868,-1603,539,-955,524
216,5230,-15873,-1509,373,-1076,418
217,5056,-15884,-1449,233,-1174,346
218,4917,-15882,-1424,119,-1260,302
219,4826,-15875,-1417,20,-1346,276
220,4773,-15863,-1419,-69,-1417,264
221,4755,-15858,-1426,-160,-1473,256
222,4759,-15856,-1428,-252,-1515,247
223,4786,-15851,-1449,-343,-1563,232
224,4805,-15842,-1478,-447,-1682,206
225,4808,-15831,-1512,-587,-1974,151
226,4857,-15827,-1556,-768,-2515,55
227,4990,-15836,-1691,-975,-3315,-71
228,5173,-15849,-1962,-1194,-4409,-251
229,5357,-15848,-2515,-1427,-5855,-558
230,5623,-15837,-3408,-1765,-7867,-1056
231,6068,-15777,-4556,-2356,-10357,-1681
232,6654,-15697,-5808,-3196,-12598,-2407
