accX,accY,accZ,gyroX,gyroY,gyroZ
12063,-15925,-2993,-9704,-4799,-14866
12572,-15908,-3808,-11187,-6047,-15922
13208,-15843,-4581,-12906,-7480,-16851
13908,-15668,-5332,-14789,-8595,-17633
14421,-15310,-5967,-16586,-8990,-18360
14600,-14738,-6342,-18205,-8535,-18959
14105,-13521,-5497,-19661,-7273,-19390
13128,-13937,-2646,-20971,-4459,-19893
11296,-14698,-1791,-20753,-736,-20694
10177,-14226,-1833,-19456,1956,-20012
10070,-12934,-2280,-17822,2000,-17866
10305,-11460,-2515,-16382,475,-15288
10698,-10166,-2738,-14941,-1341,-13030
11258,-8933,-3050,-13627,-2542,-10864
11858,-7824,-3400,-12418,-3042,-9046
12330,-6859,-3789,-11251,-3142,-7673
12720,-6062,-4146,-10209,-3142,-6602
13107,-5347,-4462,-9272,-3175,-5762
13502,-4653,-4767,-8391,-3181,-5093
13838,-3985,-5061,-7551,-3022,-4516
14165,-3396,-5273,-6765,-2683,-4017
14410,-2858,-5459,-6035,-2051,-3561
14534,-2368,-5680,-5365,-1241,-3240
14547,-1920,-5947,-4809,-604,-3031
14567,-1545,-6121,-4427,-409,-2862
14659,-1209,-6207,-4128,-487,-2689
14769,-921,-6228,-3832,-504,-2503
14781,-670,-6294,-3490,-329,-2320
14738,-437,-6368,-3148,-158,-2140
14741,-234,-6415,-2841,-119,-1934
14785,-90,-6426,-2571,-139,-1710
14782,9,-6437,-2304,-134,-1488
14756,86,-6463,-2022,-160,-1255
14771,125,-6478,-1744,-276,-999
14832,141,-6459,-1459,-419,-737
14905,130,-6424,-1149,-489,-491
14932,118,-6403,-788,-447,-279
14878,127,-6389,-385,-347,-88
14763,148,-6343,35,-266,118
14586,188,-6290,492,-225,357
14360,265,-6136,991,-163,648
14086,311,-5854,1520,98,991
13777,294,-5461,2075,660,1464
13433,225,-5088,2725,1506,2135
13106,141,-4904,3531,2561,3020
12852,24,-4760,4329,3706,4166
12683,-251,-4453,4884,4928,5627
12585,-795,-4090,5300,6263,7324
12554,-1545,-3897,5738,7418,9175
12633,-2441,-3797,6095,7964,11043
12803,-3448,-3674,6371,7746,12682
13157,-4554,-3406,6620,6917,14058
13669,-5667,-3072,6951,5987,15214
14117,-6667,-2781,7353,5411,16170
14313,-7541,-2579,7669,5280,16953
14323,-8312,-2388,7850,5317,17579
14302,-9081,-2090,7857,5236,18063
14273,-9823,-1723,7820,5103,18363
14161,-10471,-1415,7848,5070,18464
13984,-11026,-1188,7869,5151,18444
13792,-11536,-973,7786,5300,18338
13514,-11980,-749,7606,5488,18113
