accX,accY,accZ,gyroX,gyroY,gyroZ
8873,-16967,-13753,-19868,-19692,-10628
8549,-16659,-13942,-21157,-19647,-9390
8076,-16258,-14030,-22318,-18882,-7993
8830,-17354,-9779,-23363,-17189,-7040
8129,-17068,-7762,-22460,-14067,-6888
8340,-15975,-7514,-21268,-13174,-5761
8544,-14917,-7748,-20056,-13187,-4398
8742,-13648,-7915,-18668,-12491,-3591
8139,-12493,-8163,-17192,-10554,-3297
7169,-11234,-8719,-15640,-8577,-3002
6871,-9983,-9191,-14256,-7506,-2413
6973,-8793,-9607,-12968,-6811,-1877
7039,-7696,-10014,-11717,-6004,-1546
7057,-6705,-10383,-10568,-5115,-1320
7141,-5822,-10601,-9546,-4203,-1070
7290,-5086,-10616,-8637,-3150,-727
7611,-4500,-10404,-7826,-1803,-246
8015,-4120,-9967,-7034,48,283
8253,-3875,-9556,-6016,2599,836
8272,-3793,-9163,-4856,5616,1301
7993,-3879,-8828,-3549,8331,1795
7637,-4130,-8498,-2060,10775,2596
7400,-4513,-8283,-274,12974,3846
7342,-4905,-8091,1782,14953,5521
7352,-5321,-7851,3913,16735,7467
7453,-5826,-7624,5954,18338,9625
7670,-6528,-7405,7758,19750,11939
7859,-7332,-7129,9261,20953,14022
7842,-8265,-6852,10381,21877,15896
7706,-9577,-6509,10911,22253,17583
7640,-11323,-6029,10923,21877,19102
7820,-13330,-5428,10515,20825,20468
8293,-15274,-4807,9821,19399,21698
8908,-16987,-4250,9008,17945,22805
9653,-18199,-3808,8394,16534,23801
10201,-18782,-3595,8099,14874,24277
10419,-18917,-3421,7821,12253,23403
10523,-18675,-3280,7240,9759,21715
10457,-18379,-3045,6137,7746,19732
10362,-18146,-2742,4713,5979,17777
10319,-18025,-2391,3214,4254,15854
10273,-17960,-2072,1893,2632,13899
10186,-17902,-1785,858,1238,11942
10069,-17862,-1471,146,243,10061
9832,-17796,-1108,-186,-253,8323
9454,-17652,-733,-182,-304,6735
8983,-17444,-392,-17,-57,5367
8463,-17222,-96,170,330,4278
7907,-17015,153,315,766,3446
7377,-16842,351,344,1156,2821
7010,-16740,487,222,1371,2378
6817,-16736,511,94,1215,1936
6700,-16746,412,107,601,1313
6766,-16771,149,174,-460,436
7130,-16838,-243,200,-1958,-678
7709,-16969,-752,82,-3712,-2058
