Mean-accX,Range-accX,Var-accX,Median-accX,Mean-accY,Range-accY,Var-accY,Median-accY,Mean-accZ,Range-accZ,Var-accZ,Median-accZ,Mean-gyroX,Range-gyroX,Var-gyroX,Median-gyroX,Mean-gyroY,Range-gyroY,Var-gyroY,Median-gyroY,Mean-gyroZ,Range-gyroZ,Var-gyroZ,Median-gyroZ,label
7633.108108,9075,9557637.21,6069,-1296.540541,17125,19272670.03,440,5954.081081,14457,29582312.41,7717,-5555.783784,22010,64472662.06,-9762,-6682.432432,8480,8323647.586,-6692,-5114.351351,28843,85014258.62,1076,1
8978,9749,10372622.61,7017,-3854.486486,15506,24005242.53,-1578,5442.297297,10162,12231762.44,7325,-7127.054054,21227,60984375.61,-11436,-10561.94595,9088,6028249.941,-10132,-915.6216216,36404,148283009.6,3528,1
7462.135135,8399,7220801.12,6411,-3110.216216,19749,30771981.4,-1167,5524.972973,9855,14571622.92,6347,-5485.405405,26587,98558872.86,-10553,-8657.054054,10516,7823341.441,-8214,-4060.513514,31645,104918326.8,1596,1
8433.108108,7499,6123205.71,7392,-2954.945946,18991,27598262,-1504,4684.027027,9338,12507522.86,4142,-6899.432432,23193,74868716.42,-13298,-9849.918919,9085,6102406.354,-10004,-5334.648649,32890,116457327.4,600,1
8302.054054,10140,11198255.72,6684,-1800.783784,17064,24244738.17,171,5908.432432,11573,16876894.53,7398,-6574.297297,28006,91277131.49,-11889,-7514,8983,6252915,-6721,-4327.891892,32845,121635011.2,1368,1
7554.864865,10515,13152007.4,6827,-1326.945946,19809,32671451.61,-30,5638.081081,7750,7602780.243,5862,-6225.891892,24531,84392732.54,-12465,-9902.72973,8657,7116005.869,-10137,-4543.72973,32495,102949039.4,-1404,1
7696.891892,10814,13886739.77,5500,-576.972973,17626,24643797.19,859,4803.189189,12067,19963026.71,4395,-8598.027027,23852,61047239.92,-12899,-7577.648649,8213,4867711.79,-7514,-6979.621622,31412,120631323.9,-2630,1
6919.594595,9935,11482703.53,5735,-125.4324324,20405,27467278.97,1563,6580.756757,12428,20332364.41,5476,-4214.135135,26578,97822888.34,-10271,-7856.459459,10209,8587467.811,-8010,-6964.162162,25293,74689393.2,-3553,1
4641.513514,13592,17492080.92,3952,-11360.72973,12838,12430393.48,-10914,1749.297297,17006,23684445.16,3720,-1043.378378,38103,184304886.1,-5728,-5473.648649,21035,41877190.62,-4778,-3782.702703,32239,106116947.6,-459,1
4747,18347,33135069.11,3596,-10451.89189,11468,11768505.15,-9719,1076.783784,16465,21760072.06,2850,-762.5135135,31945,132146725.6,-5390,-4852.918919,19457,38768236.63,-3274,-3184.918919,35871,128209468.4,-506,1
7909,5757,2859793.278,8307,-10273.51351,10208,12342356.48,-10302,-6262.27027,7190,5263015.98,-7350,-6107,19962,44184284.61,-3595,687.2702703,6101,2256860.258,35,1817.513514,17251,33877112.09,4112,2
8266.864865,5907,3143221.287,8899,-10106.97297,11211,15402931.08,-10839,-5387.486486,6981,5208356.646,-6392,-6584.243243,21038,42445333.91,-4232,594.1351351,3344,1205502.065,373,2204.972973,21066,43161112.58,3884,2
8645.648649,6326,3361365.734,9349,-10793.10811,10178,12612250.77,-11457,-4961.324324,5990,4062593.947,-5959,-6491.405405,18928,33834435.47,-4280,645.4594595,3869,1247643.422,704,2348.081081,21578,45552148.24,4132,2
8878.486486,6914,4060889.035,9734,-9968.513514,11076,14779287.87,-10113,-5285,6258,3853915,-6282,-5688.081081,18217,35096689.08,-3784,-239.7837838,2980,1064741.063,-240,2182.702703,21861,50985686.77,4547,2
