Mean-accX,Range-accX,Var-accX,Median-accX,Masd-accX,Mean-accY,Range-accY,Var-accY,Median-accY,Masd-accY,Mean-accZ,Range-accZ,Var-accZ,Median-accZ,Masd-accZ,Mean-gyroX,Range-gyroX,Var-gyroX,Median-gyroX,Masd-gyroX,Mean-gyroY,Range-gyroY,Var-gyroY,Median-gyroY,Masd-gyroY,Mean-gyroZ,Range-gyroZ,Var-gyroZ,Median-gyroZ,Masd-gyroZ,label
8645.648648648648,6326,3361365.7342342343,9349,380,-10793.108108108108,10178,12612250.765765766,-11457,222,-4961.324324324324,5990,4062593.9474474476,-5959,234,-6491.405405405405,18928,33834435.46996997,-4280,387,645.4594594594595,3869,1247643.421921922,704,824,2348.0810810810813,21578,45552148.24324324,4132,585,2
8878.486486486487,6914,4060889.0345345344,9734,286,-9968.513513513513,11076,14779287.867867868,-10113,249,-5285,6258,3853915,-6282,237,-5688.081081081081,18217,35096689.076576576,-3784,359,-239.78378378378378,2980,1064741.063063063,-240,494,2182.7027027027025,21861,50985686.77027027,4547,437,2
8745.702702702703,5579,2676064.214714715,9358,857,-9800.324324324325,11214,14729216.66966967,-10052,248,-6322.378378378378,5721,2921727.7417417415,-7046,362,-6257.459459459459,20935,47024688.42192192,-3237,586,175.54054054054055,2914,754068.033033033,326,1343,1646.081081081081,23014,52591805.40990991,4947,812,2
8448.162162162162,6348,3285406.361861862,9245,458,-9620.405405405405,11083,15422046.136636637,-9787,259,-6216.540540540541,7051,4661036.366366366,-7259,256,-5893.189189189189,22426,54353174.54654654,-2566,347,279.3243243243243,3872,1061729.503003003,491,601,2259.6216216216217,21595,51686335.68618619,5112,317,2
9006.756756756757,7237,4227866.911411411,9808,610,-10182.486486486487,10892,14249789.534534534,-10402,322,-4984.189189189189,5975,3612893.6576576577,-5923,154,-6592.621621621622,18413,35400032.019519515,-3945,325,829.6756756756756,2937,718689.391891892,836,868,2391.6486486486488,22927,56955733.567567565,5186,507,2
8677.72972972973,5470,2443741.8693693695,9307,394,-9197.648648648648,11227,15026389.456456456,-9396,274,-6291.891891891892,5671,2733853.1546546547,-7055,172,-5672.756756756757,19205,46074949.18918919,-1902,355,-295.2432432432432,3016,779345.0225225226,-689,451,1278.7027027027027,19139,45898133.77027027,5050,374,2
8593.783783783783,6134,2924647.896396396,9128,291,-9434.513513513513,11246,15858199.978978978,-9388,277,-5994.891891891892,6091,3538033.6546546547,-6602,132,-6686.594594594595,20120,42874555.96996997,-3723,271,432.94594594594594,3800,1179159.274774775,323,754,1750.8108108108108,23480,57911557.768768765,5171,376,2
8831.702702702703,7770,4747990.936936937,9478,378,-9611.108108108108,11374,15702472.543543544,-9822,272,-5130.594594594595,6572,4764395.358858859,-6383,172,-7073.513513513513,19374,37919343.59009009,-4319,309,1055.4054054054054,7387,3755809.692192192,1264,978,3338.9189189189187,22222,54097997.24324324,5709,393,2
9266.027027027027,6276,3471750.3048048047,9999,237,-9333.162162162162,10446,14081585.25075075,-9230,299,-5644.7027027027025,5717,2726892.048048048,-6392,262,-6339.756756756757,21131,46765902.35585586,-2916,449,315.8378378378378,4893,2509905.972972973,1088,1091,1522.8918918918919,22908,51786927.0990991,3469,396,2
8493.567567567568,6321,3305529.1411411413,9352,277,-9772.378378378378,11328,15538816.186186187,-10066,220,-6023.27027027027,6744,4428731.091591592,-6829,254,-5739.594594594595,19665,36935994.19219219,-3546,296,117.97297297297297,4402,1485677.0825825825,52,644,2316.6486486486488,19859,39422548.67867868,4790,451,2
9086.783783783783,5688,2805261.5075075077,9719,287,-9783.324324324325,10337,12905671.66966967,-9824,284,-5907.1621621621625,6630,3747556.3063063063,-6703,207,-6501.4324324324325,19110,39932192.418918915,-3640,311,599.081081081081,6869,3926445.5765765766,810,650,2016.6216216216217,19866,44458014.74174174,4096,363,2
8398.18918918919,6718,3777016.1021021022,9252,223,-10958.783783783783,9727,11921547.785285285,-11468,214,-5317.513513513513,6833,4509011.09009009,-6229,227,-5972.081081081081,18721,34426579.68768769,-3736,377,350.6756756756757,4594,1884814.4474474473,-172,785,2496.2432432432433,20564,43074441.18918919,4440,455,2
8434.702702702703,6926,4119108.325825826,9145,372,-10800.648648648648,9871,11643305.345345344,-10972,284,-5758.540540540541,6750,4668475.533033033,-6709,181,-5728.189189189189,20111,39816791.99099099,-3664,544,-171.21621621621622,3715,922956.3963963963,15,566,2250.2702702702704,20660,41019774.86936937,3951,457,2
8557.513513513513,6509,3470651.145645646,9320,293,-10931.297297297297,9538,11366130.936936937,-11201,219,-5301.108108108108,6992,5125617.154654655,-6134,216,-5976,16027,24967659.888888888,-4206,235,434.94594594594594,3893,1893167.5525525527,266,425,2554.3783783783783,18318,33956104.18618619,3994,367,2
8506,6273,3699031.277777778,9307,332,-11096.783783783783,9622,11763377.451951953,-11604,314,-4868.324324324324,6225,4183737.503003003,-5788,211,-6363.243243243243,16953,27040378.133633632,-4554,406,390.5405405405405,4975,2221772.810810811,611,799,2150.945945945946,21670,44806072.21921922,4148,589,2
8390.216216216217,6102,2945836.063063063,9027,287,-10579.243243243243,9589,11150854.133633634,-10839,213,-5989.945945945946,6158,3915151.608108108,-6882,233,-5781.189189189189,19246,36315952.65765765,-3554,386,308.5945945945946,4057,1350368.96996997,-99,656,2343.324324324324,18156,32672971.447447445,4398,407,2
9238.621621621622,5031,2198461.575075075,9859,339,-9728.81081081081,8809,8792704.37987988,-9681,196,-6658.486486486487,4196,1277427.8123123124,-7200,242,-4904.864864864865,18016,36935724.28678679,-2620,194,-1276.1891891891892,5668,4193201.7132132133,-295,497,930.6216216216217,15091,24116814.7972973,3281,318,2
9160.648648648648,5423,2554655.012012012,9632,241,-9663.486486486487,9763,10949108.367867868,-9819,257,-6701.054054054054,5928,3234953.4414414414,-7620,207,-6310.945945945946,19115,40727040.33033033,-2838,201,469.2432432432432,5486,2115817.855855856,788,764,1915.2432432432433,16694,32068418.3003003,4586,346,2
7963.27027027027,6236,3399544.2582582585,8598,754,-11701.378378378378,9148,10600112.686186187,-12403,278,-5264.324324324324,6922,4537201.947447447,-5878,346,-6067.891891891892,19185,35224037.0990991,-4406,436,202.6216216216216,3532,1180642.463963964,127,1288,2154.972972972973,20001,36209554.6936937,4001,694,2
8443.891891891892,5738,3069664.4324324327,8974,162,-11133.324324324325,8424,8793805.891891891,-11247,178,-5514.054054054054,6742,4483259.996996997,-6220,161,-6201.810810810811,18911,34550134.65765766,-3961,236,680.3513513513514,3043,832299.3453453453,582,485,1511.918918918919,18034,32548617.798798796,3879,315,2
7377.351351351352,6042,3623029.5675675673,7940,219,-12029.27027027027,8182,8172058.813813814,-12516,176,-5443.7027027027025,6585,4550118.881381381,-6166,252,-5407.594594594595,20702,39295747.8033033,-3244,516,-117.5945945945946,4718,2062989.9144144144,-691,509,1967.2432432432433,16525,25184033.133633632,3940,464,2
6928.5675675675675,5551,3304141.7522522523,7592,259,-12187,8433,8954926.388888888,-12761,291,-5661.648648648648,7433,6515551.400900901,-6932,328,-5338.459459459459,22132,43861979.477477476,-3816,479,673.7567567567568,4229,1086574.4669669669,830,950,2304.972972972973,16094,24361735.804804806,3625,379,2
7805.486486486487,5339,2617103.5345345344,8345,187,-11471.108108108108,9279,10716138.543543544,-12088,259,-5674.2972972972975,7874,7117280.77027027,-6785,257,-6027.783783783784,19383,36046638.3963964,-4347,412,1236.7027027027027,4648,1554633.436936937,1130,924,2088.4594594594596,19496,36022737.921921924,3177,490,2
7474.648648648648,5122,2342254.7342342343,7959,172,-11803.405405405405,8782,9571871.35885886,-12327,293,-5498.486486486487,7032,6268935.812312312,-6854,208,-5831.2972972972975,20230,35889723.4924925,-4695,341,1248.2162162162163,2887,681046.0630630631,1664,467,1968.6756756756756,16752,25240598.614114113,2581,347,2
7975.891891891892,6229,3438984.6546546547,8433,701,-11776.378378378378,8866,9625738.852852853,-12291,242,-4628.108108108108,6917,5749228.376876877,-5559,286,-6669.7027027027025,15910,24877225.436936934,-4538,467,747.3513513513514,6038,3999199.9564564563,-28,1053,2662.5135135135133,19845,37518604.97897898,4067,438,2
8610.756756756757,5556,2408863.5225225226,9077,901,-10532.216216216217,9473,10985303.618618619,-10722,207,-5950.972972972973,6730,4338480.749249249,-6508,202,-6512.081081081081,18988,36508069.07657658,-4043,349,7.945945945945946,5333,2184721.885885886,-502,1133,1405.837837837838,20338,40897290.02852853,3588,356,2
8450.567567567568,7265,4888215.641141141,9302,245,-11265.621621621622,9642,11783723.463963963,-11628,261,-4333.108108108108,6734,5252404.376876877,-5090,249,-6844.648648648648,16504,25309342.123123124,-5080,343,1221.7027027027027,5867,3574804.1591591593,854,907,3336.9189189189187,21675,44504984.13213213,4926,828,2
8564.513513513513,4773,2139084.3123123124,9049,470,-10981.243243243243,8861,9613785.355855856,-11164,233,-5663.756756756757,6635,4558983.522522522,-6419,220,-6121.594594594595,19550,39020528.025525525,-3888,241,425.86486486486484,3345,1122642.897897898,351,695,1474.054054054054,19564,36101992.44144144,3291,241,2
8704.72972972973,6766,4919673.591591592,9080,716,-3968.3513513513512,22131,52056575.28978979,-4360,621,1669.7297297297298,4507,3076999.5915915915,1314,341,-9417.837837837838,7369,3369025.1951951953,-8984,446,2031.945945945946,14485,21414358.55255255,1699,2011,1369.2162162162163,40879,232279179.45195195,5490,1148,3
8362,8288,7365135.277777778,8148,742,756.5945945945946,27067,62055211.13663664,1964,697,1493.6756756756756,1362,141416.78078078077,1546,634,-7238.486486486487,5360,3473840.756756757,-6870,493,719.1351351351351,12069,20876583.064564563,2143,1090,-2782.2702702702704,40844,217502075.2027027,-6828,848,3
8697.18918918919,7928,6999036.824324325,9505,793,-1365.5945945945946,24208,56398225.58108108,-1286,443,1653.8918918918919,4263,2394746.0435435437,1056,507,-9304.594594594595,6246,2806304.414414414,-9340,277,2528.324324324324,10151,12379920.447447447,975,1464,-1196.8648648648648,39599,233353982.84234235,-4208,720,3
8052.648648648648,7693,6038982.234234234,8023,1115,2247.810810810811,26321,58642607.6021021,3813,516,2814.864864864865,3924,1116634.5645645645,2600,559,-7964.378378378378,9391,12125658.963963965,-6359,525,1464.4054054054054,10802,11959055.747747747,1733,2039,-3643.2432432432433,40458,186463327.1891892,-6182,710,3
9257.027027027027,7608,6912245.249249249,9167,733,990.2972972972973,25302,57318884.49249249,2198,451,1824.162162162162,2386,514022.1951951952,1569,216,-7010.459459459459,5563,3216199.810810811,-6848,336,1202.2432432432433,8569,10114015.855855856,2188,654,-2646.4324324324325,39771,209960506.14114115,-6208,650,3
8582,10044,10364044.166666666,8888,843,543.5135135135135,24604,58908189.923423424,954,683,1873.6216216216217,3847,1162882.5195195195,1681,382,-8105.756756756757,7200,6273369.3003003,-8163,548,1789.837837837838,12636,17564716.972972974,2271,1065,-2971.6216216216217,39184,211914573.4084084,-6708,718,3
8432.486486486487,7573,6295931.201201201,8543,762,1014.9459459459459,24990,58777706.83033033,2291,397,1511.2702702702702,4550,2448925.091591592,796,334,-9139.297297297297,8027,5355501.048048048,-8952,463,2227.810810810811,13750,18692141.324324325,1949,1384,-2215.6486486486488,41049,216931310.95645645,-5570,617,3
8104.810810810811,6198,5722641.824324325,6710,957,-1238.081081081081,29473,66566835.7987988,-123,677,1751,5724,3271823.777777778,1390,424,-8293.378378378378,4572,2469310.7417417415,-8118,452,2203.6216216216217,18370,40095709.40840841,-287,1283,904.0540540540541,39331,174400391.83033034,-2401,1314,3
9497.54054054054,7277,5218410.144144144,9960,549,-434.2972972972973,23122,52498269.6036036,394,539,2218.4864864864867,2639,731762.9234234234,1936,172,-7471,6238,2746038.111111111,-7779,299,1423.4054054054054,9300,11159340.025525525,766,1177,-1504.027027027027,39908,228996648.24924925,-5230,524,3
7548.081081081081,9572,9889550.521021022,8151,942,710.972972972973,25130,56621673.36036036,1534,395,1343.3783783783783,2958,730713.0195195195,1084,348,-8120.351351351352,6263,2994876.28978979,-7952,371,1495.2702702702702,11429,17271062.036036037,1552,1637,-1308.2702702702702,41210,244404194.5915916,-6003,651,3
7404.72972972973,11141,12600285.480480481,7503,476,2499.6486486486488,25955,57692343.123123124,4082,388,991.081081081081,3108,663929.5765765766,773,245,-8345.486486486487,7136,3652899.09009009,-8252,234,1804.2162162162163,10619,15793826.674174175,2498,906,-2530.675675675676,41110,212425843.83633634,-6988,517,3
8323.81081081081,7892,7204507.657657658,8044,464,2436.4324324324325,22933,50774778.36336336,3788,260,1606.5675675675675,2444,569340.0855855856,1221,277,-7273.621621621622,6654,5136111.186186186,-7182,323,1072.1081081081081,8893,11338722.987987988,1529,1084,-1315.5405405405406,42866,229583538.64414415,-4323,750,3
9906.621621621622,6336,4427499.186186186,9476,829,633.5675675675676,24878,57243800.530030034,2098,562,1327.5945945945946,3110,840837.1921921922,875,440,-7615.189189189189,4951,2142621.7687687688,-7806,365,1279.4864864864865,4198,1575239.7567567567,1453,943,-3056.945945945946,40022,197356630.55255255,-5870,792,3
7878.756756756757,9922,12361735.133633634,8306,552,657.918918918919,24773,56274176.46546546,2086,343,1436,2442,642397.3888888889,1100,306,-8126.864864864865,5135,3135765.7312312312,-8034,487,1491.4324324324325,10434,11290602.474474475,726,752,-2471.027027027027,39887,240142483.3048048,-5217,681,3
8065.027027027027,9150,8260081.527027027,7270,884,2881.5135135135133,25559,59979424.36786787,4778,415,1378.5945945945946,2691,415014.0255255255,1204,221,-7928.675675675676,4129,1947684.2252252253,-7904,261,1175.162162162162,8311,5226535.639639639,1011,1538,-4437.675675675676,42411,193507899.3918919,-6527,783,3
7949.675675675676,9297,8495935.66966967,7803,785,731.5945945945946,24984,59130275.8033033,1962,420,1061.7837837837837,4232,1559718.5075075075,1215,284,-9693.891891891892,7298,5080050.043543544,-8872,327,1275.6486486486488,9080,11926953.956456456,2046,2020,-2426.7837837837837,40844,226097146.0075075,-5955,607,3
8584.432432432432,7630,6241624.696696697,8544,629,1345.162162162162,23919,55044004.584084086,3222,339,993.6216216216217,2678,641347.2417417418,593,285,-8543.216216216217,6617,3338274.285285285,-8181,407,2152.189189189189,8153,8376255.990990991,991,834,-2314.135135135135,41652,229284536.7312312,-5550,545,3
8253.567567567568,8466,7529462.196696697,8103,978,761.1891891891892,24458,57226050.15765766,1701,435,423.3783783783784,4107,1560378.0195195195,4,259,-9358.486486486487,8357,5635032.534534534,-8603,345,2903.0810810810813,10494,12727003.743243244,2269,1208,-1656.1081081081081,39977,218681269.5990991,-5874,772,3
8059.27027027027,8994,9113678.924924925,8124,768,1578.8108108108108,24823,56161754.54654654,2729,419,1813.054054054054,3607,888590.996996997,1582,332,-6767.378378378378,7170,5823591.51951952,-6601,436,633.6486486486486,8296,9357070.123123124,1024,1580,-2152.4594594594596,40979,224849745.0885886,-6435,636,3
7713.972972972973,8621,8597792.138138138,7369,599,2271.108108108108,25301,57085294.98798799,3793,325,497.5945945945946,3335,1041662.0810810811,-17,192,-8635,6404,2857498.722222222,-8734,234,2043.1081081081081,9333,10045069.487987988,1959,994,-2093.675675675676,42916,233962072.1141141,-5767,619,3
7857.189189189189,9023,9041894.102102103,7428,1054,2954.189189189189,25967,58719366.54654655,4875,373,958.1081081081081,1657,206740.82132132133,804,287,-8767.162162162162,6408,3967158.861861862,-8491,397,1051,11569,17320646.5,2003,763,-3761.3513513513512,42116,196544304.6231231,-6562,566,3
8119.378378378378,10397,9716401.908408409,7705,814,2279.162162162162,25136,58371029.084084086,3741,720,584.1081081081081,4210,1714076.2102102104,1002,395,-9431.918918918918,10507,9323580.965465466,-8316,422,2480.4054054054054,11573,17656702.24774775,3443,793,-3452.2432432432433,41180,192958622.1891892,-6483,1499,3
8715.756756756757,6708,4681944.522522522,8680,618,929.4054054054054,22638,53903772.13663664,2369,699,-330.2972972972973,4236,1533584.659159159,304,183,-9915.378378378378,16038,18420285.2972973,-9131,348,953.4864864864865,14001,22254690.59009009,1227,929,-413.7567567567568,37917,193573836.63363364,-3538,682,3
9117.918918918918,8346,6235440.743243244,9083,915,911.6486486486486,22743,48573814.34534535,1511,429,43.648648648648646,3438,1024181.3453453453,-55,372,-8747.27027027027,9510,7701880.369369369,-7878,304,1965.7837837837837,9024,7798238.785285285,2200,1620,-1379.6756756756756,37878,207001131.55855855,-5644,1223,3
6194.405405405405,11820,13151685.747747747,5356,687,2815.0810810810813,26400,61699273.13213213,4248,564,450.3783783783784,4252,1579179.6306306305,763,305,-9405.72972972973,10125,9085529.980480481,-7881,369,2633.6486486486488,13203,17888871.4009009,2984,1217,-3475.7837837837837,41089,203105853.34084085,-6498,647,3
