,accX,accY,accZ,gyroX,gyroY,gyroZ
147,-2587,10498,11415,9672,5984,-2954
148,-2954,10627,11279,9912,5900,-3258
149,-3284,10743,11157,10127,5823,-3532
150,-3571,10957,10900,10353,5819,-3826
151,-3875,11137,10579,10490,5913,-4114
152,-4163,11347,10186,10545,5984,-4412
153,-4434,11573,9801,10519,6008,-4770
154,-4730,11748,9411,10393,6057,-5130
155,-5068,11867,8957,10213,6057,-5425
156,-5349,11954,8528,10030,5905,-5641
157,-5601,11984,8131,9851,5673,-5809
158,-5829,11997,7753,9657,5461,-5928
159,-6112,11976,7288,9434,5323,-5994
160,-6428,11955,6736,9205,5209,-5988
161,-6731,11951,6174,8941,5012,-5915
162,-6927,11979,5637,8658,4589,-5801
163,-6993,12049,5195,8366,4040,-5671
164,-7093,12099,4750,8044,3565,-5599
165,-7304,12151,4327,7711,3155,-5587
166,-7589,12169,3974,7379,2711,-5595
167,-7879,12198,3675,7092,2182,-5587
168,-8104,12224,3485,6876,1603,-5580
169,-8337,12207,3333,6728,1098,-5592
170,-8609,12194,3150,6675,668,-5620
171,-8929,12158,2922,6713,275,-5660
172,-9250,12099,2623,6827,-86,-5683
173,-9589,12028,2280,7011,-389,-5686
174,-10010,11939,1809,7289,-632,-5670
175,-10462,11840,1252,7683,-903,-5616
176,-10989,11717,487,8113,-1137,-5476
177,-11596,11586,-494,8538,-1300,-5214
178,-12362,11454,-1730,8922,-1430,-4809
179,-13285,11310,-3268,9251,-1699,-4213
180,-14163,11127,-5047,9432,-2271,-3227
181,-14734,10850,-6943,9457,-3250,-1836
182,-14922,10452,-8855,9197,-4619,-30
183,-14681,9921,-10745,8275,-6303,2288
184,-14238,9104,-12402,6372,-8045,5077
185,-13250,8074,-13582,3416,-9821,7846
186,-11514,6701,-14122,-201,-11702,10338
187,-9210,4516,-14044,-3458,-13195,12581
188,-6726,1466,-13813,-6389,-14117,14600
189,-3898,-1957,-12636,-9027,-14651,16416
190,-836,-5038,-10000,-11401,-14212,18051
191,1269,-7811,-6668,-13537,-11819,19523
192,1827,-10306,-3233,-15460,-8311,20847
193,1746,-11714,227,-17191,-6108,21312
194,1971,-11843,3481,-17598,-5898,20779
195,2532,-11660,6277,-17332,-6250,19347
196,2911,-11466,8572,-16808,-5919,17406
197,2778,-11270,10445,-16080,-4850,15385
198,2346,-10954,11978,-15170,-3773,13492
199,1907,-10516,13255,-14172,-3176,11781
200,1695,-10147,14317,-13140,-3028,10291
201,1680,-9886,15197,-11991,-3031,8965
202,1783,-9638,15908,-10682,-3057,7651
203,2048,-9404,16535,-9243,-3094,6277
204,2429,-9257,17087,-7711,-3067,4854
205,2873,-9248,17394,-6040,-3080,3343
206,3431,-9330,17500,-4156,-3395,1670
207,4051,-9405,17585,-2143,-3939,-149
208,4634,-9321,17648,-132,-4358,-1972
209,5093,-9100,17614,1732,-4407,-3694
210,5294,-8888,17424,3385,-4078,-5247
211,5228,-8517,17160,4815,-3584,-6593
212,5007,-7876,16858,5992,-3080,-7690
213,4727,-7060,16561,6894,-2525,-8493
214,4369,-6352,16255,7511,-1902,-9022
215,3967,-5740,15958,7946,-1371,-9313
216,3580,-4972,15646,8307,-1104,-9470
217,3320,-3996,15338,8550,-1049,-9502
218,3211,-3042,15097,8554,-1017,-9383
219,3035,-2276,14825,8305,-829,-9129
220,2697,-1561,14474,7944,-553,-8768
221,2355,-718,14142,7563,-428,-8293
