accX,accY,accZ,gyroX,gyroY,gyroZ
-5306,-13902,14850,-11198,3604,5456
-5255,-13470,14912,-9570,3153,4484
-5247,-13122,14752,-7931,3193,3555
-5198,-12868,14501,-6291,3349,2708
-5100,-12713,14213,-4613,3354,1914
-5008,-12655,13896,-2867,3121,1112
-4849,-12687,13692,-1103,2643,312
-4553,-12776,13715,621,2071,-460
-4242,-12893,13863,2298,1649,-1187
-4159,-12909,13984,3962,1513,-1853
-4204,-12684,14181,5556,1509,-2404
-4222,-12275,14484,6997,1490,-2801
-4340,-11731,14857,8263,1504,-3024
-4602,-11022,15195,9377,1600,-3050
-4836,-10068,15574,10395,1628,-2867
-5030,-8992,16180,11276,1503,-2467
-5418,-7754,16666,12130,1486,-1919
-5979,-6225,16896,13005,1595,-1246
-6489,-4604,17127,13769,1684,-410
-6895,-3040,17330,14486,1857,518
-7343,-1402,17223,15348,2220,1366
-7605,133,17158,16202,2606,2064
-7651,1430,17102,17021,3185,2589
-7564,2492,17159,17832,4164,2879
-7466,3271,16913,18699,5566,2806
-7481,3944,16272,19734,7054,2364
-7372,4435,15608,20938,8128,1477
-7440,4905,14627,22121,8692,-55
-7501,5263,13530,23185,8960,-1298
-7441,5596,12206,24105,9252,-2078
-7262,5929,10820,24760,9326,-2578
-7012,6295,9477,25100,9123,-2855
-6674,6572,8359,25048,8886,-2978
-6374,6727,7263,24791,8875,-3194
-6112,6935,6168,24468,9118,-3563
-5896,7064,5071,23958,9597,-4048
-5829,7150,3941,23337,10316,-4558
-5926,7200,2807,22631,11233,-5028
-6288,7108,1591,21797,12080,-5372
-6923,6966,248,21013,12416,-5543
-7588,6824,-1074,20350,11930,-5515
-8072,6777,-2137,19791,10681,-5316
-8358,6769,-2913,19279,8975,-5045
-8592,6649,-3551,18791,7159,-4796
-8832,6439,-4214,18368,5470,-4626
-9141,6138,-4955,17966,3844,-4519
-9514,5683,-5722,17464,2395,-4407
-9941,5149,-6505,16797,1312,-4169
-10400,4571,-7343,15973,492,-3719
-10877,3927,-8280,15001,-220,-3018
-11362,3214,-9442,13889,-909,-2033
-11835,2477,-10887,12570,-1669,-730
-12329,1739,-12606,10908,-2506,932
-12749,981,-14493,8717,-3424,2991
-12990,18,-16189,5817,-4438,5513
-13119,-990,-17558,2107,-5466,8238
-13147,-1931,-18612,-1379,-6652,10691
-12685,-2810,-19172,-4518,-8044,12899
-11272,-3957,-18228,-7343,-8876,14886
-9327,-5965,-16397,-9885,-7935,16674
-7549,-8645,-15063,-12174,-6200,18283
-6038,-11057,-12906,-14233,-5787,19732
-4578,-13228,-8884,-16086,-6009,20634
-3799,-15182,-4719,-17754,-4483,21314
-3227,-16078,-970,-19256,-1259,21545
-3332,-15872,2009,-20291,1921,20755
-3576,-15492,4355,-20228,3482,18966
-3870,-14885,6494,-19672,4163,16801
-4408,-14145,8380,-18919,4959,14701
-5180,-13458,10059,-18154,5918,12837
-6147,-12856,11451,-17315,6696,11205
-7061,-12324,12659,-16315,6836,9803
-7788,-11818,13663,-15096,6366,8603
-8327,-11338,14442,-13678,5623,7569
-8659,-10892,14987,-12132,4862,6673
-8825,-10458,15286,-10513,4178,5883
-8879,-9986,15393,-8881,3587,5176
-8816,-9548,15376,-7314,3117,4545
-8636,-9198,15276,-5823,2804,3979
-8363,-8915,15031,-4347,2653,3451
-8007,-8723,14655,-2866,2571,2941
-7638,-8618,14249,-1357,2448,2410
-7320,-8624,13797,194,2193,1816
-6967,-8697,13345,1764,1679,1251
-6558,-8759,13077,3327,911,686
-6197,-8759,12996,4835,169,90
-5863,-8692,13080,6219,-362,-440
-5611,-8537,13236,7467,-646,-932
-5466,-8163,13380,8574,-705,-1350
-5543,-7538,13426,9543,-635,-1697
-5667,-6778,13691,10255,-703,-1869
-5860,-5887,14098,10778,-757,-1896
-6226,-4879,14368,11225,-639,-1757
-6595,-3732,14362,11635,-533,-1391
-6805,-2377,14612,11963,-682,-915
-6891,-929,15088,12217,-833,-383
-7103,586,15470,12592,-588,80
-7566,2235,15403,13083,152,387
-7882,3774,15447,13388,866,702
-8233,5168,15425,13788,1675,775
-8780,6425,15105,14471,2688,475
-9367,7394,14576,15244,3740,-7
-9913,8002,13948,16065,4745,-430
-10468,8424,13133,17103,5546,-783
-10858,8713,12371,18323,5761,-1146
-10937,8976,11623,19661,5431,-1394
-10754,9293,10829,20971,4945,-1538
-10456,9551,10028,22089,4571,-1785
-10135,9806,9138,23064,4412,-2141
-9709,10115,8123,23963,4292,-2619
-9148,10399,7144,24648,4150,-3273
-8552,10573,6254,24982,4233,-4220
-8141,10659,5298,25045,4946,-5478
-7993,10522,4204,24816,6249,-6837
-8049,10157,3017,24436,7554,-8087
-8212,9673,1765,24009,8520,-8997
-8292,9073,645,23453,8980,-9514
