accX,accY,accZ,gyroX,gyroY,gyroZ
7366,5694,12548,5010,2223,-8499
7018,6073,12199,5636,2238,-9164
6658,6367,11821,6215,2170,-9732
6259,6644,11378,6804,2145,-10157
5776,7104,10787,7405,2269,-10421
5205,7728,10155,7885,2481,-10553
4567,8299,9563,8231,2597,-10638
3979,8634,9061,8458,2413,-10661
3520,8878,8625,8684,1978,-10542
3205,9186,8181,8947,1495,-10275
2977,9580,7734,9167,1141,-9918
2660,10036,7249,9279,1024,-9513
2176,10580,6712,9271,1121,-9041
1599,11126,6159,9163,1238,-8525
982,11651,5646,8940,1290,-7927
293,12293,5074,8691,1358,-7219
-501,13048,4501,8359,1380,-6418
-1165,13771,4064,7880,1318,-5500
-1762,14383,3768,7275,1368,-4585
-2405,14862,3568,6608,1703,-3706
-3084,15271,3363,5926,2175,-2820
-3618,15646,3180,5237,2443,-1969
-3975,15968,3041,4540,2431,-1189
-4190,16210,2983,3859,2156,-517
-4267,16382,3044,3235,1644,19
-4233,16500,3188,2700,1028,432
-4119,16595,3342,2265,444,741
-3931,16675,3485,1918,-62,951
-3681,16718,3606,1641,-464,1070
-3415,16745,3691,1439,-737,1116
-3156,16783,3731,1302,-907,1102
-2908,16828,3738,1208,-1009,1038
-2679,16874,3716,1136,-1081,920
-2502,16961,3661,1080,-1157,729
-2412,17115,3587,1042,-1257,449
-2382,17287,3530,1004,-1387,83
-2367,17441,3487,977,-1497,-333
-2398,17551,3422,1001,-1552,-813
-2484,17706,3351,1059,-1503,-1279
-2671,17879,3187,1166,-1337,-1768
-2926,17978,3005,1236,-1154,-2280
-3211,18023,2783,1288,-974,-2746
-3497,18029,2529,1321,-824,-3123
-3785,17960,2282,1302,-734,-3381
-4063,17840,2048,1234,-712,-3491
-4283,17678,1802,1132,-789,-3427
-4430,17494,1573,983,-1045,-3193
-4571,17315,1372,790,-1502,-2803
-4716,17146,1199,544,-2142,-2245
-4756,16967,1058,255,-2936,-1501
-4673,16771,1056,-100,-3851,-610
-4583,16588,1229,-523,-4731,369
-4508,16416,1495,-964,-5388,1440
-4339,16213,1778,-1407,-5768,2653
-4062,16047,1996,-1850,-5894,4005
-3751,15906,2208,-2387,-5793,5442
-3392,15652,2461,-3104,-5466,6975
-2936,15243,2817,-4029,-4882,8646
-2259,14703,3308,-5196,-3944,10477
-1232,14010,3861,-6591,-2636,12423
42,13225,4464,-8002,-1385,14260
1076,12416,5226,-9198,-711,15707
1506,11437,5613,-10138,-647,16841
