accX,accY,accZ,gyroX,gyroY,gyroZ
1181,-6768,-5368,1488,-8459,-23830
-1793,-6474,-6006,1127,-9813,-19589
-3550,-6407,-6462,23,-10861,-14353
-3898,-6414,-6567,-1781,-11321,-9641
-3136,-6522,-6627,-4447,-10493,-5400
-1931,-7818,-6401,-7279,-8882,-1583
80,-10313,-5060,-9828,-7581,1851
3309,-12559,-2280,-12122,-6436,4943
6085,-14372,475,-14186,-4214,7725
7006,-14729,2274,-16044,-1064,10229
7721,-14579,4201,-16543,641,12360
8364,-14444,5934,-16992,2177,14278
9438,-13451,7560,-15886,1968,13756
9890,-12475,8700,-14795,2196,12577
10099,-11516,9639,-13735,2461,11135
10123,-10712,10450,-12705,2609,9550
9988,-10056,11013,-11612,2559,7922
9799,-9609,11323,-10463,2168,6234
9617,-9379,11389,-9249,1352,4428
9448,-9289,11289,-7971,247,2478
9194,-9314,11040,-6699,-942,431
8911,-9435,10692,-5519,-2207,-1531
8509,-9538,10198,-4313,-3603,-3346
7891,-9422,9491,-2942,-5199,-4888
7163,-8974,8682,-1517,-7095,-5988
6539,-8346,7862,-235,-9357,-6497
6065,-7699,7125,857,-11698,-6218
5780,-6921,6475,1970,-13805,-5240
5695,-5995,5872,3207,-15701,-3747
5634,-5184,5122,4706,-17408,-1800
5810,-4739,4108,6424,-18944,800
5967,-4338,3196,7970,-20326,3141
6109,-3978,2375,9361,-21570,5248
7841,-4191,1145,11668,-22523,8000
9004,-4478,-224,13716,-22094,10476
10021,-5050,-1765,15272,-21080,12706
11805,-5992,-3096,16325,-20459,14712
13901,-6853,-4232,17322,-20050,16517
15601,-7414,-5077,18214,-19021,18142
16539,-7958,-5610,18737,-17163,19605
16821,-8665,-5985,18896,-15027,20921
16797,-9586,-6379,18731,-13232,22106
16293,-10613,-6845,18368,-12255,23172
16405,-12018,-7454,17529,-12503,24131
17087,-13205,-7859,17057,-14529,24586
17672,-13905,-8267,17037,-16353,23901
18031,-14231,-8459,16908,-17016,22551
17880,-14458,-8375,16530,-16118,20635
17219,-14586,-8083,15857,-14302,18405
16241,-14660,-7750,14761,-12093,16178
15069,-14698,-7448,13202,-9791,14108
14014,-14733,-7177,11798,-7719,12245
13064,-14764,-6932,10535,-5855,10568
11924,-14893,-6424,8490,-4972,8909
10957,-15000,-5961,6696,-4534,7441
10156,-15091,-5566,5233,-4403,6102
9515,-15142,-5232,4135,-4431,4925
9026,-15172,-4876,3327,-4487,3936
8642,-15167,-4466,2722,-4468,3115
8382,-15159,-4088,2184,-4324,2373
8313,-15259,-3892,1603,-4180,1525
8549,-15516,-3991,962,-4267,441
9288,-15880,-4385,342,-4701,-956
10673,-16359,-4891,-310,-5511,-2823
12431,-17002,-5458,-1014,-6389,-5622
14447,-17704,-6079,-1856,-7046,-8336
16279,-18310,-6820,-2875,-7399,-10779
17928,-18634,-7575,-4103,-7422,-12978
19412,-18679,-8250,-5548,-7086,-14957
20747,-18482,-8791,-7170,-6283,-16738
21819,-18196,-9307,-8846,-4841,-18341
22784,-17939,-9771,-10355,-3543,-19783
23653,-17707,-10189,-11712,-2375,-21082
23067,-17188,-10221,-12845,-362,-22250
22266,-16602,-10109,-13678,1493,-23302
21545,-16075,-10008,-14426,3162,-24248
20897,-15601,-9917,-15101,4665,-25100
20313,-15174,-9835,-15707,6018,-25867
18559,-13856,-9254,-14985,6130,-26557
16641,-12461,-8668,-14048,5948,-27178
14546,-11099,-8039,-12961,5509,-27737
12660,-9874,-7473,-11984,5115,-28240
10963,-8770,-6963,-11104,4760,-28693
8774,-7805,-6170,-9660,3663,-29100
6805,-6935,-5457,-8360,2677,-29467
5032,-6153,-4814,-7190,1789,-29797
3436,-5449,-4236,-6138,990,-30094
-183,-5283,-4679,-4466,-268,-27967
-3442,-5485,-5195,-3347,-1566,-24648
-6285,-5914,-5670,-3035,-2426,-20045
-8259,-6303,-5959,-3874,-2507,-14764
-10035,-6652,-6219,-4629,-2580,-10011
-10159,-7351,-6436,-7442,-2273,-5733
-9119,-8362,-6490,-9975,-2385,-1883
-7219,-10526,-6437,-12254,-2649,1581
-3989,-12750,-4657,-14305,-3580,4700
-313,-14752,-1299,-16152,-4472,7507
2994,-15672,1370,-17813,-3432,10033
4660,-15257,3428,-19308,-1345,12306
5746,-14479,5603,-19463,-507,13468
6875,-13421,7656,-18594,-826,13329
7646,-12203,9295,-17281,-1180,12395
7857,-10970,10567,-15943,-1119,11052
7817,-9844,11664,-14750,-878,9735
7668,-8841,12647,-13683,-621,8577
7474,-8023,13509,-12701,-421,7551
7313,-7436,14132,-11691,-348,6613
7203,-7002,14418,-10517,-429,5662
7087,-6736,14345,-9181,-684,4618
6929,-6682,14027,-7753,-1208,3418
6719,-6800,13521,-6199,-2091,2015
6530,-6906,13066,-4800,-2887,753
6360,-7002,12656,-3542,-3602,-382
6276,-6874,11766,-1645,-5774,-1810
6116,-6608,10863,59,-8123,-2913
5812,-6196,9962,1598,-10566,-3731
5401,-5670,9073,2995,-12786,-4143
5068,-5116,8230,4256,-14784,-3928
4832,-4591,7304,5577,-16583,-2931
4669,-4029,6317,7180,-18201,-1171
4767,-3549,5376,9019,-19658,1278
5222,-3274,4314,11064,-20969,4389
5939,-3302,2878,13235,-22148,7227
6928,-3581,1161,15188,-23210,9781
8455,-4167,-1302,16946,-24166,12079
10839,-4961,-3903,18528,-25026,14148
13032,-5511,-6178,19952,-25800,16010
15006,-5791,-7918,21233,-25675,17537
16782,-6044,-9483,22387,-25563,18911
17389,-6420,-10171,22755,-23136,19901
17537,-6896,-10502,22827,-20731,20968
17372,-7548,-10586,22755,-18575,22148
17224,-8134,-10662,22691,-16635,23209
16974,-9262,-10459,22614,-14918,24165
16700,-10455,-10507,22499,-13108,25025
16454,-11529,-10551,22396,-11478,25800
16522,-12585,-10711,21842,-10586,25630
16485,-13300,-10857,21272,-10273,23923
16085,-13783,-10728,20542,-9772,21291
15436,-14017,-10301,19491,-8608,18589
14614,-14081,-9704,18024,-7097,16200
13689,-14158,-9086,16149,-5738,14115
12729,-14245,-8561,14060,-4681,12295
11811,-14373,-8112,11932,-3923,10686
10967,-14515,-7690,9934,-3433,9263
10215,-14661,-7237,8159,-3171,7952
9537,-14769,-6780,6666,-3053,6685
8917,-14836,-6361,5444,-3006,5478
8370,-14875,-5978,4446,-2996,4418
7926,-14894,-5611,3637,-3009,3571
7563,-14897,-5249,2989,-3005,2926
7242,-14896,-4917,2469,-2937,2447
6954,-14895,-4619,2001,-2876,2015
6736,-14933,-4352,1646,-2721,1846
6567,-14993,-4107,1343,-2558,1792
6414,-15059,-3879,1076,-2397,1775
6284,-15079,-3622,818,-2266,1730
6250,-15102,-3431,477,-2168,1609
6439,-15233,-3456,150,-2226,1220
6981,-15475,-3931,-90,-2700,359
8092,-15941,-4934,-373,-3720,-1069
10127,-16531,-6005,-918,-5595,-3289
12391,-17352,-6977,-1840,-7600,-6237
14428,-18186,-7938,-3073,-8900,-8890
16262,-18690,-8759,-4649,-9432,-11278
17913,-18839,-9459,-6577,-9235,-13427
19330,-18811,-10044,-8743,-8297,-15361
20272,-18682,-10624,-10895,-6692,-17101
20793,-18421,-11144,-12848,-4689,-18668
20907,-18023,-11574,-14509,-2434,-20078
20774,-17568,-11910,-15869,-55,-21347
20472,-17075,-12068,-16922,2295,-22489
20200,-16631,-12211,-17869,4410,-23516
19331,-15950,-12138,-18101,6191,-24442
18124,-15064,-11971,-17904,7499,-25274
17037,-14266,-11820,-17727,8676,-26023
16059,-13548,-11685,-17567,9736,-26698
14462,-12270,-10759,-16755,9317,-27305
12569,-11326,-9643,-15706,8881,-27851
10314,-10438,-8700,-14122,8347,-28342
7908,-9637,-7980,-12125,7406,-28785
5297,-8999,-7464,-9942,6098,-29183
2305,-8444,-7305,-7646,4583,-29496
-875,-8119,-7335,-5503,2873,-28776
-4064,-8180,-7370,-3665,1183,-26788
-6935,-8452,-7600,-2240,-252,-23274
-9317,-8738,-7928,-1853,-1178,-18181
-10695,-9211,-8323,-3294,-1485,-13086
-10872,-9897,-8293,-6026,-2022,-8501
-10036,-10396,-8222,-8700,-2599,-4374
-8187,-11699,-8049,-11107,-3371,-660
-4863,-13806,-6469,-13273,-4652,2682
-1100,-15702,-3594,-15222,-5615,5691
2286,-16376,-703,-16977,-4882,8398
4539,-16211,1766,-18556,-3242,10835
6061,-15371,4123,-18842,-2684,12472
7539,-13971,6449,-17954,-3189,12741
8597,-12398,8316,-16519,-3572,12133
8962,-10888,9645,-15009,-3392,10950
8960,-9538,10659,-13622,-3012,9612
8824,-8495,11457,-12352,-2695,8329
8614,-7719,11944,-11051,-2519,7107
8393,-7188,12108,-9651,-2595,5901
8141,-6854,11941,-8132,-2980,4674
7808,-6596,11511,-6540,-3629,3445
7434,-6411,10977,-5068,-4472,2329
7022,-6354,10399,-3798,-5480,1432
6486,-6286,9703,-2566,-6655,774
5810,-6012,8885,-1256,-8187,337
5211,-5534,8087,-53,-10208,245
4897,-5006,7473,834,-12463,783
4732,-4638,6940,1618,-14494,2043
4600,-4445,6237,2715,-16321,3799
4731,-4198,5336,4251,-17966,5913
5514,-3982,4295,5973,-19446,8578
6799,-4208,2943,7811,-20778,10997
8580,-4594,1658,9795,-21977,13174
10160,-4965,289,11844,-23056,15133
11408,-5468,-960,13487,-23316,16897
12699,-6152,-2191,14802,-23133,18484
14236,-7130,-3297,15978,-22882,19912
15582,-8140,-4321,17355,-22398,21198
16329,-9039,-5257,18766,-21307,22355
16512,-9983,-5931,19858,-19669,23396
16343,-11076,-6393,20572,-18084,24333
16162,-12375,-6784,20980,-17062,25176
16148,-13769,-7113,21175,-16751,25935
16283,-15028,-7415,21281,-16606,26619
16415,-15978,-7729,21344,-16104,27233
16420,-16531,-7989,21273,-15009,27108
16226,-16747,-8182,20886,-13366,26298
15707,-16689,-8263,20044,-11502,24961
14983,-16541,-8199,18631,-9873,23240
14269,-16451,-8027,16751,-8783,21325
13659,-16439,-7794,14698,-8273,19297
13138,-16464,-7523,12672,-8153,17162
12657,-16487,-7220,10798,-8181,14958
12164,-16512,-6875,9112,-8199,12760
11636,-16542,-6490,7621,-8135,10639
11037,-16554,-6020,6340,-7973,8619
10421,-16520,-5578,5232,-7674,6769
9815,-16433,-5136,4247,-7242,5160
9250,-16321,-4709,3353,-6727,3827
8712,-16218,-4307,2552,-6202,2776
8214,-16146,-3938,1856,-5683,1980
7730,-16109,-3598,1281,-5149,1382
7275,-16071,-3285,825,-4619,929
6850,-16045,-2992,456,-4127,588
6469,-16036,-2737,165,-3690,333
6143,-16034,-2522,-50,-3334,149
5880,-16016,-2340,-194,-3053,29
5684,-15998,-2176,-305,-2822,-23
5535,-15980,-2038,-405,-2613,-38
5445,-15949,-1943,-507,-2440,-78
5445,-15916,-1888,-651,-2345,-186
5611,-15918,-1885,-866,-2371,-428
5965,-15973,-2010,-1144,-2545,-884
6541,-16126,-2323,-1413,-2836,-1601
7778,-16258,-2792,-1554,-3410,-2747
9716,-16619,-3365,-1630,-4134,-4821
11953,-17131,-3988,-1665,-4481,-7615
14035,-17715,-4592,-1805,-4602,-10131
15908,-18063,-5160,-2200,-4874,-12394
17594,-18277,-5747,-2980,-5125,-14432
19111,-18364,-6306,-4109,-5071,-16265
20477,-18407,-6769,-5485,-4715,-17915
21706,-18436,-7188,-6920,-3930,-19400
22550,-18373,-7528,-8227,-2748,-20737
23017,-18175,-7758,-9319,-1331,-21940
23218,-17935,-8010,-10134,284,-23023
23400,-17719,-8236,-10867,1738,-23997
22447,-17415,-8280,-11146,3376,-24874
21043,-16924,-8224,-11086,4533,-25663
19368,-16203,-8053,-10779,5103,-26374
17861,-15553,-7899,-10502,5617,-27013
16505,-14969,-7761,-10254,6079,-27588
15284,-14443,-7636,-10030,6494,-28106
14185,-13969,-7523,-9828,6869,-28572
13196,-13543,-7422,-9647,7205,-28992
12306,-13160,-7331,-9483,7508,-29369
11505,-12815,-7250,-9336,7781,-29709
7078,-12457,-7454,-7602,5730,-27361
3093,-12135,-7639,-6041,3885,-25247
222,-11664,-8190,-6712,3636,-20233
-1509,-11497,-8395,-9178,3217,-15105
-3068,-11348,-8579,-11398,2840,-10490
-4471,-11213,-8745,-13396,2501,-6336
