-2287,-18893,7568,5775,-4503,10341
-1898,-17628,7378,6628,-4469,10195
-1797,-15982,7299,6778,-3916,9689
-1995,-14241,7410,6317,-3448,8958
-2174,-12674,7509,5902,-3027,8300
-3152,-11214,7404,4898,-4080,7490
-2542,-9991,5533,3721,-6948,6176
-1993,-8891,3848,2662,-9530,4994
1482,-7001,4054,1638,-11854,3355
4200,-5947,796,866,-7392,3906
6646,-4999,-2135,171,-3376,4401
2704,-4506,-2981,-487,238,5152
-842,-4063,-3743,-1080,3491,5828
147,-3200,-4772,-1568,-134,4543
3409,-3042,-5058,-1981,-3398,3504
6345,-2900,-5315,-2353,-6334,2568
4195,-1724,-5595,-2787,-2424,3471
2916,-1792,-5739,-3085,-1667,3279
1765,-1854,-5869,-3353,-986,3106
4865,-528,-5175,-3640,-4164,1694
6454,-44,-6512,-3989,-471,2200
7885,392,-7715,-4303,2852,2655
4430,521,-6791,-4618,5844,3418
1320,637,-5960,-4902,8536,4104
1573,847,-4927,-5117,4406,3013
