5934,-16786,-966,-6932,-11719,-9429
6102,-14637,-681,-8121,-12039,-11148
5936,-12013,-679,-8178,-10538,-11208
6254,-9756,-1402,-7905,-10346,-10417
6540,-7724,-2053,-7659,-10173,-9705
7051,-6223,-3776,-7850,-11212,-8427
7236,-5358,-6285,-8484,-11433,-7094
7403,-4579,-8543,-9055,-11632,-5895
7085,-4906,-10965,-10032,-11748,-4843
6798,-5201,-13145,-10912,-11854,-3897
6581,-5517,-14317,-12297,-11189,-3459
6583,-6472,-13412,-13168,-8251,-2994
6583,-7332,-12598,-13953,-5607,-2575
6421,-6151,-12308,-13746,-3409,-2674
6992,-4895,-12052,-13018,-3599,-2503
7507,-3765,-11821,-12362,-3770,-2349
7490,-2689,-11821,-11465,-2980,-1972
7706,-1615,-11844,-10482,-2634,-1673
7900,-648,-11864,-9598,-2324,-1403
7981,197,-11846,-8720,-1879,-1254
8215,725,-11532,-7846,-1627,-1180
8425,1200,-11248,-7059,-1399,-1115
8390,1075,-10630,-5867,-858,-885
8359,962,-10073,-4793,-370,-678
8160,403,-9330,-2975,594,-150
