2719,-13778,-6412,-18174,8342,-22512
-343,-12982,-4974,-15179,7835,-19486
-3100,-12266,-3679,-12483,7378,-16763
-4643,-11568,-2835,-9634,6919,-11810
-3656,-11280,-2532,-7350,6128,-7352
-2767,-11021,-2259,-5295,5417,-3340
-1139,-11235,-1903,-3768,5498,270
325,-11428,-1582,-2394,5571,3520
2647,-10483,-1449,-1055,6937,6444
3794,-9133,-621,-208,8766,8631
4826,-7918,124,554,10411,10598
5525,-7074,563,22,9864,9894
6336,-6910,553,-1244,7018,8968
7066,-6762,544,-2384,4457,8135
7133,-6998,367,-3779,2314,7403
7052,-7112,9,-4910,841,7351
6979,-7214,-311,-5928,-484,7305
8125,-7749,-297,-6303,-1527,9384
9461,-9239,-433,-5686,-1520,11722
10663,-10580,-556,-5130,-1514,13827
11163,-12719,-789,-4085,-1307,15721
11613,-14644,-999,-3144,-1122,17426
11251,-15719,-1569,-2733,-2254,18664
13402,-16133,-1419,-3124,-5305,17077
15339,-16506,-1283,-3476,-8051,15649
15613,-16298,-1362,-3504,-10523,13515
14567,-16257,-2135,-3016,-8280,12084
13625,-16220,-2831,-2577,-6261,10795
12398,-16196,-3100,-2061,-2367,9564
11106,-16044,-3214,-1791,56,8232
9944,-15907,-3315,-1548,2238,7032
9159,-15832,-3333,-1780,1484,5951
8453,-15764,-3348,-1989,806,4977
8185,-15768,-3258,-2408,-934,4384
8024,-15780,-3058,-2611,-1139,4192
7880,-15791,-2878,-2794,-1324,4019
7901,-15879,-2616,-2733,-638,3883
7554,-15834,-2564,-2455,-371,3468
7242,-15794,-2517,-2204,-130,3095
