3799,-18886,6040,15656,-3015,-458
5984,-14913,4645,15928,-7762,-955
8662,-13292,4541,15039,-10262,-1463
6117,-11547,3413,13973,-5959,-1069
8703,-7226,4929,8235,-8395,-2000
9752,-6460,5606,6895,-10415,-2234
9250,-5425,5603,6040,-9575,-1623
10524,-4939,5856,5179,-10234,-1583
11670,-4500,6083,4404,-10826,-1547
11935,-4261,5847,3839,-10530,-1141
12173,-4046,5634,3330,-10263,-775
11380,-3868,5674,2801,-8031,-491
11109,-3765,5527,2104,-7662,-310
10866,-3672,5395,1477,-7330,-147
10654,-3800,5017,487,-6990,198
10360,-4204,4750,-851,-5456,858
10095,-4567,4510,-2055,-4075,1452
9573,-5447,4485,-3616,-2270,2305
9292,-6683,4789,-5407,-1490,3345
9038,-7795,5062,-7019,-789,4282
9090,-9153,5445,-8532,-467,5572
8931,-10548,5704,-9673,187,6826
8787,-11804,5937,-10700,776,7956
8631,-12835,6062,-11401,1132,8620
8491,-13763,6174,-12033,1452,9218
8279,-14481,6201,-12433,1966,9182
7689,-15098,7408,-12195,2559,8587
7158,-15653,8495,-11982,3094,8051
6706,-15659,7695,-10870,2925,7248
6260,-15604,6521,-9844,2980,6522
5858,-15555,5464,-8920,3030,5869
5418,-15679,4691,-8107,3221,5341
4976,-15797,4339,-7407,3274,4754
4579,-15903,4021,-6777,3322,4226
4324,-15932,3644,-6141,3074,3772
