13199,-14272,-1847,-9020,4586,-17971
12984,-12879,-1823,-8753,4176,-19297
12790,-11626,-1801,-8512,3808,-20490
12399,-10042,-1825,-7915,3671,-21135
11494,-8306,-1976,-7020,3601,-21389
10679,-6744,-2111,-6215,3538,-21618
9231,-4892,-2397,-5165,3590,-21348
7927,-3225,-2654,-4221,3638,-21106
6919,-1475,-2708,-3358,3122,-20070
6092,257,-2997,-2556,2621,-18423
5347,1816,-3258,-1834,2170,-16940
5019,3102,-3351,-1246,1845,-15067
4973,3917,-3311,-605,2017,-12973
4932,4651,-3275,-29,2171,-11089
4638,4761,-3350,797,3234,-8662
4723,4350,-3503,2022,4026,-5458
4800,3980,-3641,3125,4740,-2574
5303,3238,-3987,4543,5237,795
6392,2224,-4485,6178,5659,3992
7371,1311,-4934,7651,6039,6870
8677,19,-5116,8889,6292,9460
9852,-1143,-5280,10003,6519,11790
10894,-2777,-5478,10730,6540,13888
11579,-4499,-5524,11010,5743,15776
12195,-6049,-5565,11261,5026,17475
12556,-7234,-5460,11313,3967,18084
