meanaccX,maxaccX,minaccX,varaccX,medianaccX,25thpaccX,75thpaccX,meanaccY,maxaccY,minaccY,varaccY,medianaccY,25thpaccY,75thpaccY,meanaccZ,maxaccZ,minaccZ,varaccZ,medianaccZ,25thpaccZ,75thpaccZ,meangyroX,maxgyroX,mingyroX,vargyroX,mediangyroX,25thpgyroX,75thpgyroX,meangyroY,maxgyroY,mingyroY,vargyroY,mediangyroY,25thpgyroY,75thpgyroY,meangyroZ,maxgyroZ,mingyroZ,vargyroZ,mediangyroZ,25thpgyroZ,75thpgyroZ,label
8272.84,15418,1752,18190483.8944,9916,4336.0,10886.0,-8123.32,-1622,-16599,21397299.6576,-8403,-11982.0,-3304.0,-1089.72,971,-3513,1634800.1216,-984,-2300.0,-268.0,-1937.84,12434,-16379,119301393.1744,-1245,-13319.0,8432.0,7212.48,13510,-2057,12970030.3296,7546,5843.0,8653.0,-4901.16,15212,-24088,226623732.5344,-4679,-20767.0,10655.0,3
6575.88,10738,1884,5912742.3456,6964,4815.0,8737.0,-11311.48,-3895,-21351,27528453.3696,-12384,-15736.0,-6200.0,-17.44,1877,-5917,3744967.7664000005,495,-339.0,1426.0,-4803.56,2914,-14964,36173921.5264,-2006,-10178.0,-8.0,2233.08,8772,-6340,18512515.8336,2107,-693.0,6184.0,1213.12,17402,-18704,178120079.9456,4746,-12110.0,13962.0,3
6455.48,10927,1187,8187489.0496000005,7609,4467.0,8727.0,-13963.2,-6869,-23042,21040189.52,-15640,-17417.0,-9579.0,0.16,2067,-4573,2621298.0544,565,-501.0,993.0,-3087.28,3725,-12152,30340485.1616,-953,-8471.0,1521.0,300.32,8869,-9382,29275859.417600002,-886,-3118.0,5229.0,2830.84,18830,-18144,182223395.0944,7634,-10916.0,14703.0,3
5085.24,13074,-282,14098953.4624,4068,2028.0,8588.0,-7931.48,-370,-21797,44201943.6896,-6431,-12162.0,-2010.0,273.04,3221,-5545,7108947.6384000005,1082,-709.0,2195.0,-4028.16,3918,-12599,39713567.8144,-4504,-10741.0,2333.0,3713.84,10337,-1418,17853511.1744,1124,-101.0,7983.0,-1937.72,21126,-21137,219001719.9616,-5237,-16634.0,12348.0,3
7354,13067,2441,7822854.88,8247,4921.0,9288.0,-11695.48,-5924,-19517,16731431.6096,-11755,-15046.0,-7863.0,-130.56,1474,-4905,3077047.5263999994,395,-452.0,1189.0,-4280.08,1152,-13987,32691872.0736,-600,-10010.0,453.0,1386.76,9123,-6220,22509473.062400002,-40,-1581.0,5644.0,1510.48,18493,-21064,205630357.0496,6704,-13358.0,13858.0,3

2556.96,8270,-7691,26899509.958399996,4287,-728.0,6746.0,-7719.64,-4802,-14923,7487355.9904000005,-6535,-8563.0,-5908.0,-3959.6,5792,-13853,50001484.72,-5592,-10202.0,3700.0,-14864.56,-7317,-23751,30635951.5264,-13251,-19926.0,-10097.0,-490.2,4205,-11429,16272668.159999998,713,-1737.0,3101.0,-4508.08,7924,-19211,107783131.5136,-4947,-13801.0,6140.0,1
1437.88,8504,-7956,29791447.145600002,2908,-3007.0,5601.0,-7644.04,-4384,-13726,5472666.1184,-7334,-8474.0,-6093.0,-3944.84,7151,-14072,52129405.8944,-5446,-9953.0,2824.0,-14984.44,-7365,-24262,32638619.5264,-12301,-20640.0,-10479.0,3337.08,9642,-10548,26299889.8336,4385,2194.0,7152.0,-1446,12325,-15468,99131739.28,-3791,-10335.0,8781.0,1
4860.48,13274,-5718,32120618.6496,7022,189.0,8859.0,-9824.44,-7594,-15394,4129144.8863999997,-9239,-10458.0,-8340.0,-1045.56,7880,-10492,40817381.1264,-3106,-5741.0,5870.0,-12664.68,-6279,-21258,26034370.6976,-10315,-17568.0,-9033.0,2142.96,7577,-6784,13530532.998399999,2120,14.0,5227.0,-5607.64,9488,-23645,157527562.2304,-1140,-18864.0,6116.0,1
4367.96,12691,-5033,30278780.1184,6404,-525.0,8063.0,-8136.12,-4767,-14905,6567971.8656,-7282,-8500.0,-6661.0,-899.36,8492,-9549,40234982.7904,-2849,-5810.0,6158.0,-13838.4,-7825,-21926,22305213.04,-11522,-18413.0,-10355.0,2119.68,7629,-9715,22349643.257600002,3511,791.0,5505.0,-7071.44,8981,-25423,171283237.8464,-4858,-20331.0,5504.0,1
5132.6,14933,-4014,27918859.92,6798,1194.0,7874.0,-8846.72,-6513,-15180,5606859.0016,-8063,-9379.0,-7055.0,1123.64,8770,-5868,29699632.8704,-1128,-3336.0,7274.0,-9860.08,-6815,-14964,7722830.0736,-9006,-12085.0,-7519.0,2400.68,7634,-4782,11502439.6576,1688,378.0,5659.0,-5568.64,9485,-24732,164444591.9904,831,-20520.0,6057.0,1
6059.4,9110,1514,2299560.32,6286,5397.0,6951.0,-5955.36,-2243,-15437,14803467.270399999,-4418,-7600.0,-3049.0,-2806.96,5229,-6243,11002136.8384,-4878,-5470.0,-662.0,3282.84,15263,-7452,33822382.2944,2133,-274.0,7111.0,-1883.64,3086,-12695,20873214.5504,-995,-4172.0,2643.0,-3883.8,-1615,-7515,3283465.44,-3087,-5353.0,-2472.0,4
4622.56,8306,1143,3757528.5664,4787,3560.0,5710.0,-6623.16,-2214,-17151,19579461.9744,-4897,-8933.0,-2977.0,-1595.88,7524,-6390,15932870.505600002,-3313,-4809.0,1475.0,2540.84,14858,-10530,51048098.7744,1801,-2224.0,7707.0,433.56,8039,-9671,22217056.8864,559,-3019.0,3958.0,-1165.52,820,-4942,2363225.8496,-583,-2132.0,-19.0,4
5441.4,9397,678,4005248.2399999998,5893,4478.0,6681.0,-7269.52,-3235,-15824,14094443.5296,-6244,-9098.0,-4164.0,-4626.08,3506,-11835,15720073.513600001,-5048,-6888.0,-2106.0,214.8,6327,-11235,24326873.04,1555,-1969.0,4000.0,-383.6,6236,-7695,9576220.0,-7,-2280.0,963.0,-4062.48,-1320,-12132,9037762.809600001,-2846,-5466.0,-2335.0,4
1559.32,5681,-3541,4999598.9376,1399,53.0,2855.0,-5971.6,-768,-15975,21104413.52,-4585,-8960.0,-2031.0,-3353.6,7718,-9014,18304673.28,-3671,-6231.0,-1836.0,3087.68,13263,-8787,38141613.6576,2973,-904.0,7857.0,-675.56,6305,-9706,17625977.0464,-196,-4283.0,2398.0,401.72,1931,-2051,1203210.1216000002,553,156.0,1043.0,4
