meanaccX,maxaccX,minaccX,varaccX,medianaccX,25thpaccX,75thpaccX,meanaccY,maxaccY,minaccY,varaccY,medianaccY,25thpaccY,75thpaccY,meanaccZ,maxaccZ,minaccZ,varaccZ,medianaccZ,25thpaccZ,75thpaccZ,meangyroX,maxgyroX,mingyroX,vargyroX,mediangyroX,25thpgyroX,75thpgyroX,meangyroY,maxgyroY,mingyroY,vargyroY,mediangyroY,25thpgyroY,75thpgyroY,meangyroZ,maxgyroZ,mingyroZ,vargyroZ,mediangyroZ,25thpgyroZ,75thpgyroZ,label
6555,9936,4917,2350742.16,5993,5328.0,7467.0,-4978.68,359,-13707,18594187.8976,-4236,-8261.0,-1311.0,-8103.44,-1878,-10655,4867990.3264,-8702,-9650.0,-7369.0,-11466.72,154,-22632,60456372.5216,-12521,-18141.0,-3785.0,692.36,15921,-10223,79827129.5104,-3223,-6662.0,9658.0,822.92,14931,-4871,36011067.0336,-1748,-3040.0,1968.0,2
7134.04,9532,5416,2499408.5984,6324,5825.0,9135.0,-6942.32,-2443,-13870,12634106.2176,-6535,-10114.0,-3535.0,-7679.56,-1261,-10052,6862860.9664,-8895,-9471.0,-7193.0,-9708.84,27,-21808,61659411.4144,-8849,-16995.0,-2303.0,2508.28,16796,-11574,107304802.6816,1605,-7643.0,12623.0,3057.16,14520,-4386,47181899.9744,-1192,-2261.0,10168.0,2
5177.92,12440,34,14115869.5936,4923,1765.0,8477.0,-2742.84,4311,-17083,41947134.9344,-303,-6341.0,2910.0,-1346.24,886,-3663,2199117.5424,-1584,-2410.0,139.0,-6781.36,9804,-18255,78547795.7504,-8065,-14798.0,-287.0,1343.44,8125,-5061,15395308.806400001,1561,-1977.0,4649.0,-3523.12,19284,-21885,195125640.1056,-4339,-17562.0,9003.0,3
8405.44,14321,2061,12940799.1264,8483,5899.0,11149.0,-1576.96,8611,-17318,64019343.7984,-759,-6785.0,5510.0,3654.76,6123,1592,1832112.3424,3098,2783.0,4878.0,-8569.6,-3544,-12538,8104195.5200000005,-8714,-10937.0,-6426.0,6356.96,19672,-2717,55576988.1184,3966,791.0,12363.0,-13388.04,-5934,-18327,10680538.5184,-13350,-15667.0,-11139.0,3
5631.68,12043,-612,17928527.2576,5430,2084.0,9199.0,-2558.48,4791,-17218,56014876.8896,1410,-8821.0,3819.0,2451.32,5366,-65,3554929.8176,2210,501.0,4349.0,-9085.92,6176,-17110,45520610.2336,-10530,-14296.0,-5167.0,257.72,9438,-8249,27177471.7216,1292,-4392.0,4353.0,-9757.16,12910,-22979,134924879.7344,-14487,-19441.0,-116.0,3
5341.48,12058,69,14558167.2896,5247,1664.0,8973.0,-3205.16,3285,-16548,34532901.4144,-1416,-6726.0,1747.0,1102.2,3633,-2428,3588725.44,1542,-562.0,2963.0,-7161.48,10515,-18538,89676105.0496,-9218,-15881.0,240.0,1549,8441,-3012,18046404.72,-470,-2510.0,5769.0,-2124.12,21886,-22276,237757956.2656,-3555,-17717.0,12758.0,3
9303.44,13145,7015,4180603.6864,8494,7651.0,11199.0,-714.68,6113,-15284,52817856.6176,2886,-6711.0,5405.0,3402.68,4331,1930,567387.3376,3604,2629.0,4057.0,-7162.04,-501,-13301,17318213.4784,-8256,-10489.0,-3464.0,-1619.28,4339,-5943,8682182.1216,-2584,-3401.0,-827.0,-6334.96,16415,-21245,138532130.9984,-8698,-16962.0,2074.0,3
8655.96,13694,6018,5280698.9984,7978,6721.0,10462.0,-1801.36,4642,-15481,41321834.7904,529,-5434.0,3558.0,4098.8,5407,2094,927495.92,4018,3403.0,5013.0,-7520.12,-1544,-12914,14817762.5056,-8750,-10785.0,-3438.0,-264.8,3771,-2391,2713005.6,-826,-1203.0,-254.0,-6219.8,17847,-22117,169816381.2,-9441,-18152.0,4693.0,3
9091,13024,6525,3983124.16,8419,7551.0,10684.0,-1710.88,4269,-14921,35463905.4656,664,-4638.0,3256.0,3600.72,4718,1484,752087.8016,3733,3052.0,4308.0,-7987.84,-437,-14745,24858865.0944,-9331,-12327.0,-2677.0,147.04,7127,-2020,8940107.7184,-1329,-1614.0,285.0,-5406.44,18442,-21534,170429084.0864,-8784,-17280.0,5812.0,3
9816.08,13553,6681,4581052.3136,9215,7755.0,11969.0,-4961.16,1340,-15492,27579260.9344,-4358,-9061.0,65.0,2985.76,4046,1147,415845.4624,2924,2609.0,3302.0,-7012.52,-1726,-13226,16844848.8896,-6070,-11174.0,-3296.0,807.32,3087,-1285,1895798.2176,865,-420.0,1825.0,-1865.4,19264,-21663,226416834.32,-3257,-16777.0,13326.0,3
8874,12284,6870,1877204.64,8547,8275.0,9161.0,-1651.6,5307,-17252,48415317.44,1159,-5283.0,4093.0,3535.08,4318,1333,513605.5136,3714,3377.0,4019.0,-7863.32,-3152,-11839,7910705.4176,-8536,-10061.0,-5436.0,89.76,2264,-1001,736598.1024,-198,-614.0,581.0,-6169.2,16508,-20891,134244162.96,-8394,-16123.0,2172.0,3
8830.64,11661,5952,3280392.6304,9317,7499.0,10522.0,-8220.04,-1882,-15612,19876086.3584,-8706,-12329.0,-3362.0,3130.92,3895,963,565874.9536,3326,2796.0,3769.0,-8513.28,-4889,-14024,9970713.001600001,-6922,-11674.0,-6078.0,1680.12,4524,-1156,2389392.7456,1927,1160.0,2548.0,1331.6,18353,-20336,204458883.76,5453,-13420.0,14846.0,3
9073.48,11809,5770,4139736.1696,8584,7428.0,11039.0,-6375.92,284,-15643,24940251.1936,-6684,-10914.0,-1715.0,3757.84,5175,2092,800882.2144,3622,3276.0,4423.0,-8017.92,-5359,-12242,5985063.2736,-6429,-10364.0,-5998.0,1833.08,3520,7,893125.1936,1763,1037.0,2382.0,147.2,18387,-20229,206438404.08,1725,-14291.0,14437.0,3
8880.84,13851,5123,6645561.3344,8173,6864.0,10936.0,-5543.56,1299,-17055,33598601.1264,-4997,-9513.0,-118.0,3469.32,4705,1800,661279.0176,3580,3103.0,3992.0,-7180.84,-3731,-10377,5092737.3344,-7792,-9176.0,-5147.0,1068.28,4178,-493,1693814.5216,370,77.0,2109.0,-4101.56,18458,-21816,206201245.5264,-8772,-17439.0,10009.0,3
6504.88,14128,-523,15422376.8256,6231,5355.0,7974.0,-8053.4,-5023,-15318,7066658.4799999995,-7188,-9426.0,-5934.0,431.8,8060,-6169,30644434.56,-402,-5695.0,6828.0,-3991.76,4652,-8800,15262424.2624,-4816,-7460.0,-1502.0,-10182.48,1088,-18420,48418097.0496,-12790,-16163.0,-3045.0,-5406.52,5935,-21052,86419108.0896,477,-14912.0,2481.0,1
8509.48,15182,3820,10141221.2896,8150,5936.0,9926.0,-7806.84,-5169,-15046,6700032.6944,-7256,-8438.0,-5861.0,1613.44,8188,-4285,24382987.0464,1317,-3639.0,7278.0,-6322.28,4650,-11254,22527171.001599997,-7181,-10313.0,-4627.0,-8492.24,1821,-17055,39193954.7424,-9682,-14399.0,-2026.0,-5350.6,5865,-21020,82319790.56,-984,-13531.0,2506.0,1
5850.76,14396,-1681,19938475.8624,6079,2517.0,8038.0,-7602.08,-2413,-14044,8206397.1936,-7738,-9190.0,-6268.0,-878.48,5846,-6053,22371355.369599998,-2557,-5526.0,4748.0,-5436.48,2089,-10105,15758518.4896,-5026,-9655.0,-2089.0,-7045,1396,-13715,21934815.04,-8439,-11263.0,-3144.0,-6104,6554,-21883,100555313.84,-1208,-16179.0,2527.0,1
7338.48,13784,2585,9408153.6096,6503,5609.0,8179.0,-9988.2,-3591,-14482,9491086.56,-11454,-12025.0,-7680.0,59.16,10106,-8019,46824215.3344,-1851,-6237.0,7511.0,-11694.72,640,-17060,18734277.2416,-12702,-15237.0,-9989.0,-5099,6476,-15672,56199502,-5492,-11828.0,1870.0,-6926.08,4155,-22165,76384422.2336,-1547,-14813.0,28.0,1
5914.56,13970,-4563,18902176.1664,6383,4493.0,7916.0,-14377.96,-10883,-18085,5413502.1984,-14180,-16304.0,-12452.0,-627.48,5376,-11486,27103328.5696,1800,-4522.0,3506.0,3763.72,19622,-10142,109783609.6416,1483,-5619.0,14590.0,-366.12,8008,-4875,15129114.5856,-615,-3733.0,318.0,-573.04,17617,-23094,164451531.4784,4866,-11740.0,7290.0,1
