,accX,accY,accZ,gyroX,gyroY,gyroZ
144,5895,1747,652,-1031,-2705,-9377
145,5614,2251,589,-1052,-1847,-6776
146,5499,2585,485,-1094,-1383,-3907
147,5540,2798,351,-1073,-1233,-811
148,5751,2918,94,-1053,-1159,2360
149,6376,2923,-116,-1086,-1158,5400
150,7059,2815,-301,-1161,-958,8137
151,7445,2669,-324,-1278,-171,10600
152,7615,2603,-293,-1460,1181,12817
153,8080,2433,-159,-1934,2615,14812
154,8774,1908,91,-2794,3876,16607
155,9174,1114,329,-3555,5230,18223
156,9266,397,487,-4042,6542,19678
157,10282,-552,1080,-4532,6745,20987
158,12198,-2132,1793,-4872,5589,22165
159,14148,-3960,2209,-4682,4197,22820
160,15530,-5066,2375,-3711,2920,22890
161,16532,-5517,2532,-2338,1522,22693
162,17129,-5764,2703,-1016,224,22276
163,17262,-5903,2788,51,-714,21800
164,17006,-6006,2710,789,-1284,21350
165,16599,-6212,2533,1195,-1721,20963
166,16367,-6594,2466,1355,-2259,20590
167,16311,-7027,2532,1357,-2605,20237
168,16172,-7507,2597,1166,-2377,19915
169,15819,-8054,2567,787,-1639,19689
170,15348,-8662,2476,319,-749,19523
171,14910,-9360,2431,-164,-67,19335
172,14623,-10079,2618,-586,275,19125
173,14503,-10736,2961,-897,434,18865
174,14341,-11335,3128,-1082,628,18491
175,13947,-11913,3086,-1121,816,17969
176,13423,-12358,2938,-980,598,17283
177,12927,-12627,2779,-722,-229,16400
178,12497,-12818,2664,-441,-1622,15256
179,12315,-12990,2766,-153,-3532,13924
180,12277,-13189,2908,129,-5343,12509
181,12238,-13432,3038,366,-6492,11050
182,12147,-13694,3174,521,-6893,9686
183,12028,-13877,3324,598,-6646,8520
184,11798,-13955,3337,591,-6010,7516
185,11652,-13960,3397,555,-5509,6615
186,11604,-13901,3474,506,-5118,5748
187,11671,-13795,3580,461,-4737,4849
188,11934,-13703,3593,428,-4515,3839
189,12549,-13770,3475,389,-4706,2558
190,13621,-14018,3446,320,-5185,920
191,15061,-14478,3427,134,-5481,-1171
192,16725,-15084,3368,-149,-5290,-3583
193,18236,-15748,3248,-442,-4415,-6237
194,19275,-16234,3137,-666,-3049,-8890
195,20028,-16406,2995,-795,-1674,-11277
196,20358,-16350,2928,-885,-717,-13426
197,20340,-15998,2813,-952,-89,-15360
198,20151,-15467,2572,-1091,241,-17101
199,19722,-14975,2257,-1412,117,-18668
200,19114,-14439,1856,-1870,-580,-20078
201,18613,-13901,1333,-2485,-2134,-21346
202,18242,-13323,927,-3334,-4281,-22489
203,17834,-12553,495,-4278,-6151,-23516
204,17306,-11750,111,-5365,-7591,-24441
205,16744,-11017,-92,-6566,-8756,-25274
206,16163,-10219,-226,-7665,-9392,-26023
207,15385,-9330,-152,-8636,-9114,-26698
208,14080,-8482,346,-9345,-7867,-27305
209,12041,-7497,1029,-9432,-5843,-27851
210,9912,-6231,1230,-8862,-3916,-28137
211,8322,-4839,1471,-8181,-3271,-27497
212,7496,-3651,1414,-7545,-3471,-25979
213,7297,-2496,1090,-6877,-3907,-24112
214,7498,-1201,1027,-6356,-4154,-22137
215,7620,229,860,-5741,-4041,-20255
216,7520,1681,742,-5188,-3708,-18462
217,7327,2986,739,-4805,-3319,-16699
218,7242,4077,896,-4524,-3020,-14960
219,7333,5043,1027,-4211,-2819,-13297
220,7433,6018,1055,-3894,-2562,-11837
221,7381,6862,1153,-3648,-2393,-11025
222,7277,7390,1303,-3560,-2151,-10528
223,6999,7864,1307,-3271,-1515,-9545
224,6631,8181,1386,-2859,-789,-8137
225,6164,8320,1494,-2364,-58,-6488
226,5570,8292,1559,-1816,704,-4619
227,4969,8106,1592,-1208,1410,-2449
228,4435,7763,1556,-587,2042,55
229,3991,7282,1397,40,2570,2827
230,3777,6674,1192,641,2858,5784
231,3958,5968,1108,1188,2881,8483
232,4500,5202,1070,1682,2791,10911
233,5456,4435,973,2258,2763,13097
234,6777,3781,803,2934,2989,15064
235,8055,3189,597,3461,3862,16834
236,9166,2702,271,3728,5386,18427
237,10363,2141,170,3558,6909,19861
238,11534,1376,273,3120,7881,21152
239,12404,549,443,2664,8362,22313
