accX,accY,accZ,gyroX,gyroY,gyroZ
6350,4991,2840,3288,-6074,-11690
6268,5894,2763,2972,-5277,-10334
6072,6640,2774,2749,-4437,-8964
5766,7213,2851,2544,-3333,-7373
5263,7570,2934,2261,-1730,-5554
4564,7744,2926,1918,286,-3456
3856,7727,2898,1428,2401,-1009
3309,7529,2874,775,4431,1769
2971,7234,2786,-30,6362,4813
2807,6817,2628,-1085,8167,7608
2861,6180,2417,-2497,9700,10124
3573,5283,2259,-4309,10801,12389
4782,4254,2527,-6399,11592,14426
5870,3327,2768,-8280,12305,16260
6603,2473,2900,-10048,14166,17911
7241,1318,3682,-12320,16026,19397
7671,-49,4629,-14365,17428,20734
7859,-1460,5114,-16205,17474,21893
8276,-2831,5504,-17741,16081,22691
9196,-4359,6396,-19008,13738,23341
10095,-5767,7425,-19662,11444,23714
10697,-7004,8281,-19886,9688,23821
11101,-8160,8932,-19909,8350,23781
11352,-9201,9432,-19753,7354,23644
11437,-10162,9832,-19472,6612,23415
11381,-11044,10153,-19060,5915,23039
11253,-11847,10444,-18517,5068,22455
11162,-12516,10674,-17767,4081,21636
11080,-12996,10790,-16821,3148,20539
10904,-13338,10811,-15831,2412,19213
10571,-13616,10769,-14852,1814,17741
10097,-13823,10661,-13685,1024,16107
9685,-13917,10460,-12465,112,14607
9327,-14000,10229,-11368,-712,13263
8980,-14026,9952,-10315,-1475,12017
8672,-14015,9629,-9308,-2169,10856
8443,-14009,9295,-8388,-2763,9777
8232,-14032,8950,-7578,-3150,8781
8003,-14057,8602,-6875,-3321,7873
7765,-14085,8253,-6274,-3343,7063
7543,-14125,7904,-5755,-3285,6338
7366,-14154,7548,-5293,-3186,5678
7240,-14197,7232,-4903,-3036,5061
7135,-14270,6951,-4582,-2796,4470
7008,-14335,6681,-4297,-2450,3894
6832,-14398,6443,-4052,-2041,3348
6624,-14462,6242,-3830,-1663,2855
6426,-14515,6080,-3608,-1400,2436
6255,-14553,5963,-3385,-1279,2095
6121,-14575,5873,-3156,-1281,1819
6035,-14586,5791,-2927,-1372,1601
5990,-14586,5709,-2702,-1511,1427
5989,-14574,5623,-2487,-1673,1285
6035,-14557,5536,-2290,-1834,1165
6126,-14537,5452,-2118,-1951,1052
6235,-14520,5371,-1972,-1982,931
6331,-14507,5302,-1844,-1925,790
6415,-14507,5255,-1721,-1810,646
6480,-14497,5150,-1572,-1683,527
6531,-14453,5000,-1396,-1630,448
6632,-14385,4870,-1235,-1684,409
6781,-14297,4782,-1111,-1775,377
6976,-14218,4724,-1055,-1799,319
7204,-14148,4716,-1069,-1632,202
7426,-14114,4786,-1150,-1198,6
7591,-14158,4938,-1272,-541,-264
7663,-14285,5084,-1359,163,-603
7676,-14439,5232,-1316,639,-1015
7730,-14636,5416,-1106,694,-1511
7993,-14854,5621,-722,327,-2067
8455,-15039,5769,-189,-196,-2714
8976,-15169,5861,358,-570,-3497
9429,-15378,5927,802,-799,-4445
10038,-15590,6022,1227,-1006,-5580
10878,-15824,6172,1629,-1107,-6962
11732,-16078,6297,1995,-972,-8601
12647,-16397,6466,2278,-793,-10395
13764,-16804,6693,2568,-807,-12341
14841,-17071,6823,3006,-853,-14384
15666,-17103,6810,3487,-764,-16222
16185,-16934,6799,3910,-723,-17877
16420,-16491,6765,4311,-931,-19366
16348,-15784,6713,4647,-1541,-20706
15980,-14982,6482,4861,-2679,-21912
15649,-14260,6273,5054,-3704,-22997
15351,-13610,6086,5227,-4626,-23974
15362,-12517,5863,4736,-6405,-24854
14861,-11523,5611,3987,-6976,-25645
13434,-10640,5259,3191,-6902,-26357
11870,-9552,5166,2527,-7311,-26998
10334,-8322,5265,1947,-8072,-27575
8759,-7098,5254,1556,-8616,-27666
7661,-5882,5145,1397,-8770,-27130
7252,-4574,5017,1170,-8207,-25817
7153,-3382,4638,907,-6972,-24175
6992,-2140,4011,811,-5604,-22704
6949,-540,3210,949,-4700,-21127
6980,959,2703,866,-4270,-19425
6872,2231,2350,625,-3928,-17685
6796,3387,2027,455,-3723,-15958
6939,4358,1904,238,-3657,-14269
7057,5241,1832,61,-3404,-12698
7065,6004,1781,-65,-3024,-11305
7064,6639,1826,-179,-2617,-9959
6977,7093,1922,-254,-2059,-8586
6690,7331,1979,-278,-1206,-7183
6099,7386,2039,-154,-134,-5792
5349,7315,1986,-50,1175,-3868
4697,6960,2027,-215,2466,-1250
4247,6403,2081,-356,3619,1720
4030,5831,2040,-396,4764,4825
4292,5196,2037,-645,5749,7619
4962,4521,2148,-1047,6585,10134
5565,3913,2249,-1408,7337,12397
6108,3366,2339,-1734,8013,14434
6597,2874,2421,-2026,8622,16268
8060,1672,3061,-3432,9492,17918
9490,718,3655,-4486,10576,19402
10387,20,4159,-5588,12035,20739
10762,-958,4738,-7280,13132,21942
11048,-2468,5200,-8941,12837,23024
11783,-3893,5705,-9905,10935,23999
12909,-5123,6288,-10217,8449,24644
13713,-6099,6637,-10057,6479,24845
14437,-6977,6950,-9913,4706,25026
14296,-7879,7061,-10161,3977,24890
14051,-8925,7051,-10415,3028,24775
14127,-9859,7174,-10445,1661,24721
14349,-10615,7236,-10228,489,24494
14431,-11265,7168,-9903,-66,23976
14344,-11881,7112,-9701,-74,23261
