,accX,accY,accZ,gyroX,gyroY,gyroZ
247,10057,-17419,-3328,22085,8876,18204
248,9372,-17403,-2902,20585,9025,17116
249,8848,-17457,-2565,18931,8526,16177
250,8505,-17517,-2293,17294,7289,15358
251,8244,-17517,-2040,15761,5619,14542
252,8042,-17442,-1800,14311,3867,13637
253,7901,-17360,-1566,12905,2232,12663
254,7737,-17251,-1291,11614,893,11631
255,7474,-17094,-974,10453,72,10550
256,7148,-16886,-682,9372,-202,9482
257,6868,-16679,-436,8309,-172,8505
258,6573,-16502,-177,7312,-143,7588
259,6240,-16346,118,6446,-152,6727
260,5898,-16205,431,5699,-138,5955
261,5529,-16115,733,5063,-114,5288
262,5156,-16063,1017,4542,-147,4781
263,4836,-16057,1311,4125,-283,4454
264,4627,-16087,1521,3806,-487,4283
265,4555,-16146,1651,3528,-790,4216
266,4508,-16267,1784,3239,-1156,4154
267,4496,-16470,1937,2886,-1485,4058
268,4639,-16628,2028,2465,-1737,3897
269,4948,-16624,2016,2026,-1866,3617
270,5191,-16446,2016,1594,-1773,3110
271,5223,-16211,2018,1147,-1316,2372
272,5295,-16051,1930,556,-664,1610
273,5540,-16102,1895,-143,-160,875
274,5720,-16196,2128,-674,423,53
275,5678,-16326,2427,-906,1716,-887
276,5503,-16397,2519,-965,3687,-1953
277,5209,-16522,2493,-1170,5160,-3052
278,5087,-16664,2501,-1600,5723,-3849
279,5315,-16860,2484,-2138,5678,-4463
280,5736,-17099,2503,-2775,5421,-5053
281,6205,-17429,2355,-3514,5148,-5745
282,6763,-18013,1905,-4518,4541,-6553
283,7557,-18896,1035,-6018,3194,-7478
284,8526,-20283,-408,-8189,875,-8614
285,9589,-21531,-2277,-10647,-2221,-9870
286,10556,-22655,-4270,-12859,-5275,-11302
287,11292,-23666,-5786,-14850,-7837,-12952
288,11930,-24523,-7145,-16642,-9209,-14545
289,12420,-25103,-7916,-18254,-9559,-16046
290,12557,-25266,-8054,-19705,-8832,-17626
291,12069,-25227,-7813,-21012,-7252,-19140
292,11227,-24994,-7046,-22187,-5378,-20503
293,9954,-24320,-5902,-23245,-3387,-21729
294,8808,-23713,-4873,-24197,-1595,-22833
295,6934,-21724,-3627,-25054,-1877,-23827
296,5717,-19860,-2096,-25826,-3723,-24377
297,5004,-17836,-846,-26383,-5114,-24077
298,4579,-15820,-87,-25916,-5083,-23117
299,4381,-13763,200,-24683,-4299,-22023
300,4226,-11651,151,-23041,-3456,-20956
301,4005,-9499,-205,-21225,-2969,-19701
302,3993,-7385,-753,-19397,-2968,-17954
303,4174,-5390,-1387,-17644,-3210,-15904
304,4450,-3556,-2067,-15992,-3449,-13822
305,4831,-1898,-2756,-14494,-3718,-11835
306,5266,-404,-3389,-13135,-4041,-10117
307,5682,976,-3957,-11876,-4189,-8782
308,6015,2184,-4456,-10725,-3878,-7764
309,6291,3209,-4901,-9673,-3180,-6972
310,6513,4125,-5312,-8712,-2248,-6380
311,6655,4949,-5632,-7837,-1233,-5949
312,6689,5666,-5845,-7014,-324,-5617
313,6635,6291,-6010,-6214,235,-5330
314,6547,6807,-6175,-5463,384,-5020
315,6479,7213,-6293,-4780,273,-4616
316,6464,7498,-6254,-4153,72,-4088
317,6478,7639,-5960,-3486,-14,-3475
318,6409,7642,-5392,-2628,164,-2831
319,6174,7500,-4613,-1472,667,-2143
320,5962,7372,-3913,-431,1120,-1524
321,5491,6831,-2967,1709,2066,-679
322,5101,6121,-2230,4234,3336,380
323,4604,5230,-1684,7076,4580,1398
324,4167,4194,-1413,9645,5519,2518
325,3903,3042,-1408,11957,6238,4029
326,3717,1829,-1855,14038,6787,5866
327,3608,444,-2923,15911,6859,7994
328,4003,-813,-4412,17596,6052,10471
329,5052,-2341,-5942,19114,4351,12701
