,accX,accY,accZ,gyroX,gyroY,gyroZ
144,9987,-17732,-1558,-9003,-9779,-13769
145,10793,-17816,-2356,-11277,-11202,-14695
146,11700,-17834,-3151,-13426,-12151,-15721
147,12473,-17725,-3838,-15360,-12421,-16857
148,13074,-17454,-4460,-17101,-11926,-18030
149,13570,-17058,-5040,-18667,-10875,-19173
150,13952,-16519,-5538,-20077,-9500,-20232
151,14207,-15876,-5993,-21346,-7967,-21194
152,14330,-15150,-6357,-22440,-6475,-22044
153,14342,-14332,-6589,-23261,-5120,-22777
154,14251,-13459,-6722,-23842,-3904,-23397
155,14070,-12544,-6801,-24171,-2845,-23899
156,13823,-11584,-6815,-24261,-1969,-24287
157,13551,-10587,-6752,-24136,-1260,-24588
158,13251,-9566,-6596,-23827,-682,-24826
159,12898,-8522,-6391,-23350,-196,-25035
160,12489,-7449,-6172,-22721,107,-25248
161,12043,-6346,-5919,-21966,192,-25468
162,11508,-5197,-5669,-21128,236,-25639
163,10915,-3995,-5416,-20243,426,-25700
164,10329,-2775,-5132,-19339,908,-25600
165,9702,-1579,-4844,-18393,1788,-25287
166,8965,-418,-4593,-17364,2812,-24846
167,8100,753,-4362,-16295,3624,-24417
168,7148,1935,-4098,-15309,4102,-23940
169,6321,3019,-3783,-14369,4304,-23282
170,5578,4041,-3469,-13366,4368,-22498
171,4817,5076,-3192,-12348,4427,-21620
172,4037,6066,-2907,-11434,4486,-20648
173,3313,6964,-2581,-10617,4476,-19512
174,2636,7809,-2269,-9808,4428,-18215
175,2041,8639,-2000,-9000,4393,-16798
176,1518,9401,-1727,-8231,4380,-15301
177,1037,10062,-1442,-7490,4384,-13735
178,619,10649,-1192,-6748,4349,-12120
179,312,11152,-1001,-6000,4167,-10492
180,128,11581,-858,-5252,3800,-8895
181,36,11932,-747,-4513,3331,-7351
182,-13,12221,-665,-3781,2851,-5859
183,-54,12457,-639,-3047,2377,-4413
184,-25,12634,-699,-2325,1834,-2982
185,110,12769,-827,-1629,1163,-1565
186,306,12884,-997,-972,407,-192
187,495,12976,-1172,-361,-299,1112
188,662,13019,-1353,200,-851,2376
189,855,12995,-1554,713,-1292,3660
190,1088,12907,-1793,1208,-1726,4980
191,1338,12755,-2039,1702,-2196,6305
192,1594,12504,-2271,2191,-2641,7638
193,1913,12170,-2443,2666,-2986,9030
194,2355,11792,-2560,3148,-3202,10512
195,2889,11371,-2718,3716,-3298,12017
196,3423,10873,-2927,4359,-3307,13480
197,3966,10278,-3073,5030,-3190,14913
198,4668,9612,-3134,5736,-2893,16374
199,5486,8943,-3306,6555,-2443,17781
200,6265,8226,-3688,7471,-1991,18962
201,6944,7462,-4111,8421,-1634,19925
202,7659,6607,-4371,9282,-1341,20838
203,8594,5749,-4501,10088,-1132,21707
204,9587,4933,-4785,10935,-910,22377
205,10342,4068,-5100,11807,-601,22809
206,10892,3130,-5280,12646,-155,23160
207,11460,2190,-5374,13468,433,23543
208,12162,1268,-5580,14235,941,23969
209,12898,162,-5708,14887,1177,24289
210,13421,-965,-5765,15432,1425,24566
211,13783,-2026,-5731,15884,2072,24852
212,13996,-3023,-5570,16239,3213,25104
213,14116,-4033,-5266,16435,4780,25452
214,14097,-5118,-4876,16443,6608,25967
215,13866,-6272,-4500,16319,8399,26592
216,13395,-7468,-4185,16150,9481,27157
217,12909,-8669,-3815,15880,9562,27703
218,12560,-9902,-3379,15445,8808,28200
219,12270,-11050,-2897,14930,7663,28607
220,11910,-12024,-2425,14351,6527,28836
221,11466,-12835,-1957,13700,5574,28770
222,11071,-13522,-1479,12991,4809,28365
223,10739,-14091,-1047,12227,4209,27683
224,10329,-14498,-688,11415,3800,26809
225,9863,-14787,-340,10591,3589,25757
226,9371,-15013,-21,9800,3486,24542
227,8861,-15165,263,9037,3332,23202
228,8354,-15264,550,8287,3036,21789
229,7881,-15354,830,7569,2630,20341
230,7441,-15441,1088,6896,2200,18906
231,7045,-15506,1323,6283,1801,17522
232,6663,-15537,1547,5721,1467,16198
233,6298,-15543,1757,5195,1212,14937
234,5960,-15546,1948,4697,1039,13715
235,5628,-15556,2108,4223,965,12510
236,5278,-15564,2249,3778,951,11312
