,accX,accY,accZ,gyroX,gyroY,gyroZ
142,16253,-24430,-13910,-17811,-9857,-15756
143,15587,-25004,-14117,-19306,-7224,-17457
144,14701,-25331,-13916,-20653,-4630,-18988
145,13512,-25321,-13338,-21864,-2453,-20366
146,12099,-24862,-12344,-22954,-926,-21606
147,10648,-23876,-10910,-23936,192,-22722
148,9276,-22493,-9054,-24819,1492,-23726
149,7818,-20845,-7042,-25461,3149,-24145
150,5988,-18871,-5252,-24833,4523,-24116
151,4153,-16583,-3925,-23074,4544,-23635
152,3000,-13990,-3156,-20734,3371,-22463
153,2702,-11482,-2772,-18570,2337,-20564
154,2804,-9160,-2644,-16708,2334,-18511
155,2947,-7022,-2651,-15037,3075,-16663
156,3071,-5054,-2724,-13424,3638,-15095
157,3371,-3197,-2834,-11801,3446,-13934
158,3758,-1384,-3026,-10159,2680,-13377
159,4104,387,-3281,-8753,1948,-13129
160,4326,2015,-3512,-7792,1790,-12788
161,4365,3407,-3657,-7243,2340,-12161
162,4210,4589,-3730,-6911,3202,-11269
163,4007,5575,-3673,-6658,3803,-10142
164,3879,6420,-3517,-6328,3947,-8849
165,3750,7121,-3300,-5899,3819,-7565
166,3542,7712,-3048,-5363,3603,-6349
167,3246,8177,-2775,-4724,3317,-5113
168,2937,8499,-2507,-3977,2912,-3755
169,2698,8708,-2252,-3096,2402,-2265
170,2554,8805,-2006,-2081,1864,-698
171,2468,8793,-1779,-929,1398,922
172,2398,8652,-1649,347,1084,2603
173,2473,8371,-1612,1729,895,4386
174,2824,8011,-1571,3198,788,6290
175,3376,7594,-1526,4754,852,8193
176,3947,7097,-1608,6401,1148,9991
177,4506,6539,-1771,8079,1642,11746
178,5178,5913,-1971,9677,2271,13561
179,5902,5184,-2334,11173,3009,15408
180,6719,4347,-2791,12529,3743,17144
181,7668,3423,-3250,13746,4500,18706
182,8607,2462,-3679,14776,5611,20112
183,9537,1471,-4016,15524,7183,21378
184,10356,328,-4147,15813,9179,22517
185,10968,-948,-4212,15699,11382,23542
186,11452,-2293,-4266,15231,13319,24464
187,11892,-3755,-4169,14376,14400,25295
188,12135,-5256,-3952,13564,14106,26042
189,12240,-6664,-3796,13071,12663,26714
190,12249,-8001,-3623,12758,10603,27320
191,12135,-9323,-3468,12517,8527,27864
192,11966,-10641,-3323,12254,6719,28355
193,11788,-12035,-3148,11892,5119,28796
194,11643,-13376,-2942,11536,3625,29193
195,11592,-14507,-2709,11187,2319,29550
196,11572,-15393,-2497,10796,1366,29594
197,11522,-16035,-2299,10340,845,29122
198,11412,-16456,-2122,9835,719,28017
199,11243,-16694,-1969,9294,859,26376
200,10929,-16803,-1865,8724,1066,24375
201,10557,-16792,-1730,8087,1136,22239
202,10067,-16715,-1607,7434,1000,20030
203,9568,-16629,-1455,6733,619,17940
204,9147,-16556,-1304,6039,7,16096
205,8848,-16472,-1147,5407,-757,14522
206,8632,-16379,-986,4848,-1504,13183
207,8449,-16297,-833,4362,-2098,12030
208,8273,-16221,-684,3938,-2479,11033
209,8083,-16152,-545,3565,-2650,10148
210,7865,-16097,-413,3212,-2659,9323
211,7610,-16062,-279,2862,-2545,8531
212,7332,-16059,-143,2515,-2350,7746
213,7041,-16074,0,2182,-2121,6957
214,6740,-16083,141,1887,-1872,6154
215,6414,-16087,285,1622,-1617,5346
216,6089,-16097,417,1367,-1393,4567
217,5806,-16103,523,1129,-1247,3838
218,5517,-16100,637,897,-1150,3154
219,5221,-16094,734,677,-1066,2513
220,4990,-16096,813,474,-1028,1944
221,4863,-16099,831,301,-994,1461
222,4860,-16090,729,137,-927,1045
223,5079,-16079,540,-100,-891,647
224,5548,-16137,222,-554,-962,168
225,6276,-16320,-272,-1302,-1320,-445
226,7098,-16675,-1117,-2360,-2096,-1291
227,8178,-17225,-2418,-3918,-3394,-2275
228,9605,-18229,-4005,-6147,-5358,-3559
229,11086,-19598,-5823,-8809,-7797,-5270
230,12482,-20915,-7852,-11205,-9914,-7184
231,13566,-22100,-9988,-13361,-11102,-9251
232,14329,-23167,-11873,-15301,-11311,-11510
233,14786,-24127,-13263,-17048,-10533,-13636
234,14910,-24991,-14073,-18620,-8634,-15549
235,14616,-25768,-14450,-20035,-5650,-17271
236,13878,-26468,-14314,-21308,-2081,-18820
237,12637,-26866,-13742,-22454,1252,-20215
238,11017,-26799,-12682,-23485,3630,-21470
239,9351,-26086,-11242,-24413,4976,-22600
240,7782,-24731,-9576,-25249,5794,-23616
241,6208,-23120,-7798,-25732,6659,-24532
242,4358,-21072,-6246,-25087,7490,-25060
243,2467,-18748,-4989,-23529,7242,-24825
244,1300,-16234,-4097,-21386,5474,-23702
245,1097,-13662,-3522,-19194,3591,-21751
246,1403,-11232,-3213,-17254,2963,-19551
247,1696,-8949,-3084,-15511,3651,-17538
248,1928,-6813,-3073,-13862,4637,-15750
249,2225,-4833,-3120,-12213,4909,-14255
250,2680,-2968,-3202,-10485,4173,-13295
251,3179,-1138,-3388,-8758,2904,-12947
252,3640,621,-3594,-7343,1924,-12846
253,4017,2239,-3755,-6430,1810,-12581
254,4113,3619,-3867,-5953,2595,-12089
255,3905,4737,-3885,-5688,3599,-11289
256,3629,5673,-3854,-5372,4129,-10101
257,3499,6499,-3771,-4940,4058,-8648
258,3596,7245,-3637,-4453,3628,-7143
259,3770,7912,-3513,-3912,3143,-5769
260,3870,8505,-3435,-3334,2760,-4551
261,3827,9013,-3394,-2744,2503,-3416
262,3667,9371,-3304,-2175,2305,-2268
263,3448,9572,-3143,-1566,2078,-1038
264,3236,9606,-2921,-861,1778,290
265,3189,9469,-2676,-45,1393,1762
266,3294,9213,-2541,955,959,3358
267,3461,8936,-2514,2159,542,4936
268,3575,8664,-2588,3518,223,6408
269,3678,8347,-2653,4949,22,7860
270,4025,7897,-2671,6373,-31,9459
271,4632,7301,-2704,7803,124,11228
272,5259,6579,-2819,9301,558,12973
273,5783,5804,-2950,10852,1241,14590
274,6296,4999,-3142,12372,2110,16187
275,6826,4054,-3719,13713,3244,17845
276,7490,2850,-4271,14779,4280,19337
277,8293,1588,-4435,15612,5359,20680
278,9034,372,-4293,16254,6688,21889
279,9606,-1000,-4226,16700,8145,22977
280,10096,-2547,-4185,16924,9328,23956
281,10390,-4233,-4185,16997,10010,24837
282,10555,-6097,-4060,16803,10207,25630
283,10597,-8033,-3952,16486,10103,26344
284,10559,-9949,-3848,16123,9608,26986
285,10453,-11778,-3746,15803,8477,27564
286,10429,-13409,-3659,15503,6756,28084
287,10590,-14829,-3480,15097,4780,28553
288,10876,-15905,-3278,14590,3081,28974
289,11129,-16660,-3114,13978,2020,28985
290,11218,-17124,-2993,13282,1639,28150
291,11050,-17384,-2896,12529,1763,26572
292,10626,-17536,-2807,11728,2019,24529
293,10072,-17574,-2716,10900,2045,22334
294,9480,-17536,-2624,10067,1672,20107
295,8927,-17450,-2534,9236,845,18011
296,8525,-17326,-2451,8426,-391,16159
