13021,-19009,3462,-10762,6153,-18845
12865,-17772,3821,-10839,5433,-20237
12107,-16093,3674,-10414,5722,-21490
10577,-14041,3050,-9782,5661,-22618
9200,-12194,2488,-9214,5607,-23633
7077,-10087,1900,-9141,5586,-24368
4901,-8017,1879,-9558,6503,-23213
2942,-6154,1860,-9933,7327,-22174
1581,-4340,2328,-10271,7646,-19916
862,-2757,2714,-10154,6607,-17473
215,-1333,3061,-10049,5671,-15275
-290,-738,3143,-9393,4793,-12985
-745,-202,3217,-8802,4002,-10924
-1018,-166,3148,-7602,3593,-7995
-723,-251,2747,-5603,3216,-3919
-459,-328,2387,-3804,2876,-250
1236,-400,1910,-1405,3056,3051
3456,-524,1189,720,4930,6022
5455,-637,539,2633,6617,8697
7253,-1957,280,3145,7810,11104
8730,-3664,487,2902,7961,13270
10059,-5200,673,2684,8096,15220
10441,-6880,939,2270,7943,16974
10470,-8297,1172,1828,6819,18544
10496,-9573,1382,1430,5808,19957
10361,-10366,1483,1040,4213,19771
10240,-11079,1575,689,2777,19603
10013,-11563,1609,244,1519,18310
9665,-12024,1651,-253,710,16510
9352,-12440,1688,-701,-17,14890
8963,-12834,1724,-1177,-443,13107
8577,-13139,1799,-1680,-797,11351
8230,-13413,1867,-2132,-1116,9772
7886,-13650,1961,-2607,-1276,8324
7574,-13841,2108,-3078,-1198,7128
7293,-14012,2240,-3502,-1128,6051
7026,-14171,2402,-3902,-762,5276
6730,-14291,2550,-4255,-205,4732
6464,-14400,2683,-4573,295,4243
6192,-14469,2800,-4838,664,3861
