6355,-13716,-8626,-15597,-8737,-6028
6442,-12662,-8609,-15052,-8229,-5476
6520,-11713,-8594,-14561,-7772,-4979
6487,-10439,-9241,-13488,-7150,-4479
6412,-9241,-9755,-12308,-6275,-3927
6345,-8162,-10217,-11246,-5488,-3429
6326,-7206,-10699,-10136,-4828,-3046
6398,-6452,-10997,-9058,-4143,-2741
6463,-5774,-11265,-8088,-3527,-2466
6570,-5532,-11018,-6970,-2434,-2158
6667,-5314,-10797,-5964,-1449,-1881
6710,-5405,-10526,-4417,253,-1343
6771,-5625,-10685,-2296,2520,-248
6827,-5824,-10828,-387,4561,737
7323,-6179,-10936,1571,6106,2338
7780,-6796,-10676,3177,7048,4357
8192,-7352,-10442,4623,7896,6173
8684,-8226,-10047,5631,8713,8002
8836,-9088,-9400,6156,9474,9458
8973,-9864,-8817,6628,10158,10769
8809,-10618,-8144,6614,10244,11783
8619,-11305,-7469,6127,9210,12316
8448,-11923,-6861,5689,8278,12797
8324,-12410,-6357,5026,6570,12513
8213,-12849,-5903,4430,5033,12258
8033,-13191,-5455,3725,3741,11303
7765,-13496,-4990,3013,2930,10011
7522,-13772,-4571,2373,2201,8848
7155,-14034,-4015,1871,1743,7716
6628,-14231,-3525,1664,1665,6846
6154,-14408,-3084,1479,1595,6063
5742,-14597,-2811,1348,1565,5417
5412,-14726,-2643,1189,1497,4847
5115,-14842,-2491,1046,1435,4334
4825,-14932,-2360,895,1377,3888
4599,-15043,-2195,749,1151,3501
