12189,-16010,2146,7762,6404,-18299
11473,-14836,1352,9579,8695,-19746
9299,-13107,-528,11557,10272,-21048
6100,-11306,-2072,12711,9104,-22220
3221,-9685,-3461,13750,8053,-23274
-377,-8563,-5888,13437,5834,-22889
-3232,-9266,-7165,11371,1973,-17323
-5801,-9899,-8314,9511,-1500,-12314
-4235,-12186,-8088,6054,-4452,-7806
-1832,-12117,-5996,2861,-844,-3748
330,-12055,-4113,-11,2403,-97
867,-11204,-1449,-2338,3333,411
1501,-10268,941,-4091,3406,732
2071,-9425,3094,-5667,3471,1022
2055,-8770,3956,-6793,3270,1325
2040,-8181,4731,-7807,3089,1597
1954,-8101,4572,-8844,1983,1336
2479,-8280,4644,-10135,-306,907
2952,-8441,4709,-11297,-2367,521
3795,-8573,4685,-12206,-4255,966
4939,-9116,4476,-12774,-5649,3011
5968,-9604,4288,-13284,-6903,4852
7998,-10788,4719,-13532,-8080,7644
8928,-12103,4720,-13488,-8414,10156
9765,-13287,4720,-13448,-8714,12417
10548,-14144,4530,-13355,-10093,13923
10784,-14633,4229,-13087,-10561,14340
10997,-15074,3958,-12845,-10982,14715
10966,-15306,3784,-12489,-10563,14265
10937,-15515,3628,-12169,-10185,13860
10673,-15619,3389,-11771,-9457,12913
10197,-15730,3067,-11391,-8628,11620
9770,-15831,2776,-11049,-7882,10457
9135,-15895,2493,-10628,-6958,9176
8511,-15928,2264,-10196,-6199,8014
7950,-15958,2059,-9807,-5516,6968
7435,-16019,1866,-9456,-5037,6112
7002,-16062,1691,-9153,-4639,5405
